  hadtau hdp nsyst=15
  bin label    value   stat        total-syst          Closure             Btag        MuRecoSys         MuIsoSys        MuRecoIso              JEC               MT        MtEffStat    IsoTrkVetoSys          AccStat        AccSysPDF      AccSysScale    MuFromTauStat         Dilepton          TrigEff 
   Nj1-HT1     2997.2    37.9   261.1 ( 0.0871)  191.5 ( 0.0639)   78.3 ( 0.0261)   59.9 ( 0.0200)   29.7 ( 0.0099)   15.6 ( 0.0052)   67.3 ( 0.0225)   30.3 ( 0.0101)    8.1 ( 0.0027)   80.3 ( 0.0268)   29.5 ( 0.0098)   16.6 ( 0.0055)    9.8 ( 0.0033)   15.3 ( 0.0051)   59.9 ( 0.0200)   59.9 ( 0.0200)
   Nj2-HT1     4778.0    42.0   325.0 ( 0.0680)   83.1 ( 0.0174)  144.2 ( 0.0302)   95.8 ( 0.0200)   47.3 ( 0.0099)   25.1 ( 0.0053)  107.3 ( 0.0225)   48.3 ( 0.0101)    8.0 ( 0.0017)  177.9 ( 0.0372)   32.3 ( 0.0068)   21.3 ( 0.0045)   12.7 ( 0.0027)   20.4 ( 0.0043)   95.6 ( 0.0200)   95.6 ( 0.0200)
   Nj3-HT1      887.4    15.1    70.1 ( 0.0790)   29.8 ( 0.0336)   17.6 ( 0.0199)   17.9 ( 0.0202)    8.8 ( 0.0099)    5.0 ( 0.0056)   19.9 ( 0.0225)    9.0 ( 0.0101)    1.9 ( 0.0022)   45.1 ( 0.0508)    8.9 ( 0.0100)    3.5 ( 0.0039)    2.7 ( 0.0030)    6.5 ( 0.0073)   17.7 ( 0.0200)   17.7 ( 0.0200)
   Nj1-HT2      277.1    12.3    22.9 ( 0.0826)   14.4 ( 0.0519)    8.5 ( 0.0309)    5.8 ( 0.0208)    2.7 ( 0.0099)    1.9 ( 0.0068)    6.2 ( 0.0225)    2.8 ( 0.0101)    2.2 ( 0.0078)    5.6 ( 0.0203)    5.9 ( 0.0212)    2.4 ( 0.0088)    2.1 ( 0.0076)    3.3 ( 0.0118)    5.5 ( 0.0200)    5.5 ( 0.0200)
   Nj2-HT2     1368.6    21.6   116.3 ( 0.0849)   65.3 ( 0.0477)   49.3 ( 0.0360)   28.5 ( 0.0208)   13.6 ( 0.0099)    9.9 ( 0.0072)   30.7 ( 0.0225)   13.8 ( 0.0101)    3.7 ( 0.0027)   52.8 ( 0.0386)   11.8 ( 0.0086)    7.4 ( 0.0054)    6.8 ( 0.0050)    7.0 ( 0.0051)   27.4 ( 0.0200)   27.4 ( 0.0200)
   Nj3-HT2     1136.7    15.8    94.3 ( 0.0830)   32.6 ( 0.0287)   26.8 ( 0.0236)   23.9 ( 0.0210)   11.3 ( 0.0099)    8.2 ( 0.0072)   25.5 ( 0.0225)   11.5 ( 0.0101)    1.8 ( 0.0016)   66.7 ( 0.0586)    6.3 ( 0.0055)    3.6 ( 0.0032)    2.3 ( 0.0020)    5.1 ( 0.0045)   22.7 ( 0.0200)   22.7 ( 0.0200)
   Nj4-HT2      283.5     7.3    29.4 ( 0.1036)   17.0 ( 0.0600)    6.7 ( 0.0237)    6.0 ( 0.0212)    2.8 ( 0.0099)    2.1 ( 0.0074)    6.4 ( 0.0225)    2.9 ( 0.0101)    0.5 ( 0.0018)   19.0 ( 0.0671)    1.5 ( 0.0051)    1.1 ( 0.0038)    0.2 ( 0.0009)    1.5 ( 0.0053)    5.7 ( 0.0200)    5.7 ( 0.0200)
   Nj5-HT2       18.4     2.0     2.9 ( 0.1590)    2.5 ( 0.1362)    0.3 ( 0.0169)    0.4 ( 0.0214)    0.2 ( 0.0099)    0.1 ( 0.0077)    0.4 ( 0.0225)    0.2 ( 0.0101)    0.1 ( 0.0049)    1.2 ( 0.0637)    0.2 ( 0.0123)    0.1 ( 0.0061)    0.0 ( 0.0017)    0.2 ( 0.0121)    0.4 ( 0.0200)    0.4 ( 0.0200)
   Nj1-HT3       12.8     3.0     4.2 ( 0.3246)    4.0 ( 0.3104)    0.4 ( 0.0346)    0.3 ( 0.0210)    0.1 ( 0.0099)    0.1 ( 0.0080)    0.3 ( 0.0225)    0.1 ( 0.0101)    0.2 ( 0.0185)    0.2 ( 0.0158)    0.7 ( 0.0546)    0.2 ( 0.0175)    0.0 ( 0.0039)    0.6 ( 0.0433)    0.3 ( 0.0200)    0.3 ( 0.0200)
   Nj2-HT3       84.2     5.6    10.1 ( 0.1200)    7.4 ( 0.0876)    3.9 ( 0.0467)    1.8 ( 0.0210)    0.8 ( 0.0099)    0.7 ( 0.0084)    1.9 ( 0.0225)    0.9 ( 0.0101)    0.8 ( 0.0099)    3.1 ( 0.0372)    2.1 ( 0.0246)    1.1 ( 0.0136)    0.3 ( 0.0032)    1.4 ( 0.0160)    1.7 ( 0.0200)    1.7 ( 0.0200)
