  lostlep hdp nsyst=14
  bin label    value   stat        total-syst           IsoTrk              MTW           Purity  SingleLepPurity       DiLepFound            MuIso           MuReco            MuAcc          MuAccQ2          ElecIso         ElecReco          ElecAcc        ElecAccQ2       NonClosure 
   Nj1-HT1     4135.5    83.6   412.0 ( 0.0996)  262.9 ( 0.0636)   23.6 ( 0.0057)   11.9 ( 0.0029)    3.5 ( 0.0008)   10.9 ( 0.0026)   64.1 ( 0.0155)  185.1 ( 0.0448)   53.4 ( 0.0129)   26.0 ( 0.0063)   55.6 ( 0.0134)  197.1 ( 0.0477)   15.5 ( 0.0037)   18.1 ( 0.0044)  123.8 ( 0.0299)
   Nj2-HT1     6366.2   107.7   676.3 ( 0.1062)  404.8 ( 0.0636)   34.5 ( 0.0054)   18.0 ( 0.0028)   11.2 ( 0.0018)   32.0 ( 0.0050)  105.5 ( 0.0166)  294.2 ( 0.0462)   59.7 ( 0.0094)   63.1 ( 0.0099)   90.0 ( 0.0141)  316.1 ( 0.0496)   18.7 ( 0.0029)   46.8 ( 0.0074)  274.1 ( 0.0431)
   Nj3-HT1      957.7    26.9   121.4 ( 0.1267)   81.3 ( 0.0849)    4.5 ( 0.0047)    2.7 ( 0.0029)    2.8 ( 0.0029)    7.6 ( 0.0079)   17.8 ( 0.0185)   47.1 ( 0.0491)    9.9 ( 0.0103)    3.9 ( 0.0041)   14.6 ( 0.0152)   52.8 ( 0.0552)    3.9 ( 0.0041)    3.1 ( 0.0032)   48.5 ( 0.0507)
   Nj1-HT2      393.3    24.1    49.4 ( 0.1256)   24.9 ( 0.0634)    4.4 ( 0.0111)    1.1 ( 0.0028)    0.4 ( 0.0009)    0.7 ( 0.0018)    5.1 ( 0.0131)   17.0 ( 0.0431)    1.9 ( 0.0050)    0.5 ( 0.0012)    5.6 ( 0.0141)   19.7 ( 0.0501)    0.6 ( 0.0016)    0.4 ( 0.0011)   32.6 ( 0.0828)
   Nj2-HT2     1772.6    44.8   184.1 ( 0.1039)  112.4 ( 0.0634)   11.9 ( 0.0067)    5.4 ( 0.0030)    3.7 ( 0.0021)   11.0 ( 0.0062)   31.6 ( 0.0178)   83.2 ( 0.0469)   15.4 ( 0.0087)   18.5 ( 0.0104)   21.2 ( 0.0119)   89.5 ( 0.0505)    4.7 ( 0.0026)   13.2 ( 0.0074)   61.8 ( 0.0349)
   Nj3-HT2     1133.2    27.8   143.6 ( 0.1267)   94.5 ( 0.0834)    6.1 ( 0.0054)    3.1 ( 0.0028)    3.8 ( 0.0033)   12.0 ( 0.0106)   24.8 ( 0.0219)   61.9 ( 0.0546)    7.4 ( 0.0066)    5.5 ( 0.0048)   14.5 ( 0.0128)   63.8 ( 0.0563)    3.9 ( 0.0034)    4.8 ( 0.0043)   51.3 ( 0.0453)
   Nj4-HT2      258.2    10.8    38.0 ( 0.1471)   25.0 ( 0.0967)    1.4 ( 0.0054)    0.7 ( 0.0028)    1.1 ( 0.0041)    3.6 ( 0.0137)    6.2 ( 0.0240)   14.8 ( 0.0572)    2.4 ( 0.0091)    0.6 ( 0.0022)    3.0 ( 0.0117)   15.4 ( 0.0595)    0.8 ( 0.0030)    0.5 ( 0.0020)   17.2 ( 0.0666)
   Nj5-HT2       23.3     3.2     4.1 ( 0.1779)    2.3 ( 0.0967)    0.1 ( 0.0055)    0.1 ( 0.0035)    0.1 ( 0.0064)    0.4 ( 0.0159)    0.6 ( 0.0243)    1.3 ( 0.0575)    0.2 ( 0.0093)    0.1 ( 0.0022)    0.2 ( 0.0105)    1.3 ( 0.0560)    0.1 ( 0.0031)    0.0 ( 0.0021)    2.8 ( 0.1213)
   Nj1-HT3       28.2     8.0     3.8 ( 0.1362)    1.6 ( 0.0583)    0.4 ( 0.0128)    0.1 ( 0.0020)    0.0 ( 0.0015)    0.0 ( 0.0013)    0.4 ( 0.0135)    1.4 ( 0.0479)    0.1 ( 0.0018)    0.0 ( 0.0012)    0.2 ( 0.0087)    0.9 ( 0.0323)    0.0 ( 0.0011)    0.0 ( 0.0005)    3.0 ( 0.1067)
   Nj2-HT3      121.1    10.7    14.5 ( 0.1197)    7.1 ( 0.0583)    1.5 ( 0.0122)    0.4 ( 0.0030)    0.3 ( 0.0021)    0.7 ( 0.0057)    2.1 ( 0.0173)    5.6 ( 0.0460)    1.4 ( 0.0115)    1.1 ( 0.0088)    1.9 ( 0.0153)    6.3 ( 0.0523)    0.5 ( 0.0039)    0.5 ( 0.0045)    8.6 ( 0.0714)
