  znunu hdp nsyst=10
  bin label    value   stat        total-syst          hgJstat       hzvvDYstat     hzvvDYMCstat        hgJZgRerr     hzvvgJPurErr    hzvvZgDRerrUp     hzvvScaleErr    hzvvDYsysNjUp     hzvvDYsysKin     hzvvDYsysPur 
   Nj1-HT1    10555.4    65.6  1092.6 ( 0.1035)   59.8 ( 0.0057)   45.1 ( 0.0043)    0.0 ( 0.0000)  168.9 ( 0.0160)    4.4 ( 0.0004)  894.6 ( 0.0847)  555.7 ( 0.0526)    0.0 ( 0.0000)   79.9 ( 0.0076)   39.9 ( 0.0038)
   Nj2-HT1    11687.7    74.3  1215.0 ( 0.1040)   64.6 ( 0.0055)   69.9 ( 0.0060)    0.0 ( 0.0000)  175.3 ( 0.0150)    4.9 ( 0.0004)  988.4 ( 0.0846)  615.3 ( 0.0526)    0.0 ( 0.0000)  150.5 ( 0.0129)   75.3 ( 0.0064)
   Nj3-HT1     1112.0    22.4  145.3 ( 0.1307)   21.5 ( 0.0194)   22.2 ( 0.0199)    0.0 ( 0.0000)   54.5 ( 0.0490)    0.6 ( 0.0006)  107.4 ( 0.0966)   58.5 ( 0.0526)    0.0 ( 0.0000)   23.2 ( 0.0209)   30.8 ( 0.0277)
   Nj1-HT2      926.9    16.5  103.2 ( 0.1114)   18.0 ( 0.0194)    4.0 ( 0.0043)    0.0 ( 0.0000)   27.8 ( 0.0300)    0.5 ( 0.0006)   82.0 ( 0.0885)   48.8 ( 0.0526)    0.0 ( 0.0000)    7.0 ( 0.0076)    3.5 ( 0.0038)
   Nj2-HT2     2630.6    28.3  277.7 ( 0.1056)   30.8 ( 0.0117)   16.5 ( 0.0063)    0.0 ( 0.0000)   47.4 ( 0.0180)    1.1 ( 0.0004)  224.0 ( 0.0851)  138.5 ( 0.0526)    0.0 ( 0.0000)   35.1 ( 0.0133)   17.7 ( 0.0067)
   Nj3-HT2     1007.2    21.1  121.1 ( 0.1202)   20.4 ( 0.0203)   21.1 ( 0.0210)    0.0 ( 0.0000)   32.2 ( 0.0320)    0.6 ( 0.0006)   89.8 ( 0.0892)   53.0 ( 0.0526)    0.0 ( 0.0000)   22.1 ( 0.0219)   29.5 ( 0.0293)
   Nj4-HT2      148.8    10.8   31.4 ( 0.2108)    8.8 ( 0.0592)   12.1 ( 0.0812)    0.0 ( 0.0000)   15.2 ( 0.1025)    0.4 ( 0.0025)   19.5 ( 0.1308)    7.6 ( 0.0514)    0.0 ( 0.0000)    4.2 ( 0.0285)    6.1 ( 0.0410)
   Nj5-HT2        9.4     1.7    6.9 ( 0.7310)    2.4 ( 0.2507)    0.9 ( 0.0977)    0.4 ( 0.0467)    4.3 ( 0.4606)    0.4 ( 0.0474)    4.4 ( 0.4684)    0.5 ( 0.0494)    0.3 ( 0.0293)    0.3 ( 0.0342)    0.5 ( 0.0503)
   Nj1-HT3       53.7     3.9    9.6 ( 0.1787)    4.3 ( 0.0796)    0.2 ( 0.0043)    0.0 ( 0.0000)    4.2 ( 0.0780)    0.1 ( 0.0016)    6.7 ( 0.1246)    2.8 ( 0.0526)    0.0 ( 0.0000)    0.4 ( 0.0076)    0.2 ( 0.0038)
   Nj2-HT3      183.2     6.8   24.8 ( 0.1355)    8.0 ( 0.0435)    1.1 ( 0.0057)    0.0 ( 0.0000)    7.5 ( 0.0410)    0.1 ( 0.0006)   19.3 ( 0.1055)    9.6 ( 0.0526)    0.0 ( 0.0000)    2.3 ( 0.0125)    1.1 ( 0.0062)
   Nj3-HT3      111.4     5.6   17.7 ( 0.1592)    7.0 ( 0.0626)    2.2 ( 0.0198)    0.0 ( 0.0000)    6.5 ( 0.0580)    0.2 ( 0.0016)   12.6 ( 0.1132)    5.9 ( 0.0526)    0.0 ( 0.0000)    2.3 ( 0.0208)    3.1 ( 0.0275)
   Nj4-HT3       30.6     3.1    7.6 ( 0.2472)    3.7 ( 0.1198)    2.5 ( 0.0801)    0.0 ( 0.0000)    3.4 ( 0.1100)    0.1 ( 0.0025)    4.4 ( 0.1451)    1.6 ( 0.0513)    0.0 ( 0.0000)    0.9 ( 0.0282)    1.2 ( 0.0398)
   Nj5-HT3        3.8     1.0    2.4 ( 0.6254)    1.5 ( 0.3829)    0.4 ( 0.0977)    0.2 ( 0.0467)    1.2 ( 0.3189)    0.0 ( 0.0081)    1.3 ( 0.3317)    0.2 ( 0.0494)    0.1 ( 0.0293)    0.1 ( 0.0342)    0.2 ( 0.0503)
