  hadtau ldp nsyst=15
  bin label    value   stat        total-syst          Closure             Btag        MuRecoSys         MuIsoSys        MuRecoIso              JEC               MT        MtEffStat    IsoTrkVetoSys          AccStat        AccSysPDF      AccSysScale    MuFromTauStat         Dilepton          TrigEff 
   Nj1-HT1     1639.9    14.4   198.8 ( 0.1212)   53.0 ( 0.0323)   75.0 ( 0.0457)   35.9 ( 0.0219)   16.2 ( 0.0099)    9.8 ( 0.0060)   14.9 ( 0.0091)   16.6 ( 0.0101)    1.6 ( 0.0010)  163.1 ( 0.0995)    8.2 ( 0.0050)    4.3 ( 0.0026)    6.3 ( 0.0038)    8.9 ( 0.0054)   32.8 ( 0.0200)   32.8 ( 0.0200)
   Nj2-HT1     1922.1    15.3   251.0 ( 0.1306)   95.3 ( 0.0496)  103.1 ( 0.0537)   42.1 ( 0.0219)   19.0 ( 0.0099)   11.6 ( 0.0060)   17.4 ( 0.0091)   19.4 ( 0.0101)    2.2 ( 0.0012)  192.5 ( 0.1001)   10.4 ( 0.0054)    6.4 ( 0.0033)    6.3 ( 0.0033)   12.7 ( 0.0066)   38.4 ( 0.0200)   38.4 ( 0.0200)
   Nj3-HT1      230.3     4.9    41.5 ( 0.1803)   33.4 ( 0.1451)    6.9 ( 0.0300)    5.1 ( 0.0219)    2.3 ( 0.0099)    1.5 ( 0.0064)    2.1 ( 0.0091)    2.3 ( 0.0101)    0.7 ( 0.0030)   21.2 ( 0.0920)    2.8 ( 0.0121)    1.8 ( 0.0078)    0.3 ( 0.0015)    3.7 ( 0.0159)    4.6 ( 0.0200)    4.6 ( 0.0200)
   Nj1-HT2      527.6     7.9    74.6 ( 0.1413)   50.8 ( 0.0962)   25.5 ( 0.0483)   12.0 ( 0.0227)    5.2 ( 0.0099)    4.1 ( 0.0077)    4.8 ( 0.0091)    5.3 ( 0.0101)    1.1 ( 0.0022)   42.9 ( 0.0814)    3.4 ( 0.0064)    1.4 ( 0.0026)    2.5 ( 0.0047)    2.9 ( 0.0054)   10.6 ( 0.0200)   10.6 ( 0.0200)
   Nj2-HT2     2166.2    17.0   246.1 ( 0.1136)   77.3 ( 0.0357)  117.6 ( 0.0543)   49.2 ( 0.0227)   21.4 ( 0.0099)   17.2 ( 0.0079)   19.6 ( 0.0091)   21.9 ( 0.0101)    2.4 ( 0.0011)  180.8 ( 0.0835)    7.8 ( 0.0036)    5.1 ( 0.0024)    9.4 ( 0.0043)    7.8 ( 0.0036)   43.3 ( 0.0200)   43.3 ( 0.0200)
   Nj3-HT2     1119.1    12.2   116.4 ( 0.1040)   28.7 ( 0.0256)   33.2 ( 0.0297)   25.2 ( 0.0226)   11.1 ( 0.0099)    9.1 ( 0.0082)   10.1 ( 0.0091)   11.3 ( 0.0101)    1.3 ( 0.0012)   97.5 ( 0.0871)    4.3 ( 0.0039)    3.2 ( 0.0029)    1.8 ( 0.0016)    4.6 ( 0.0041)   22.4 ( 0.0200)   22.4 ( 0.0200)
   Nj4-HT2      183.7     4.8    20.7 ( 0.1126)    9.8 ( 0.0532)    4.8 ( 0.0263)    4.1 ( 0.0226)    1.8 ( 0.0099)    1.6 ( 0.0085)    1.7 ( 0.0091)    1.9 ( 0.0101)    0.3 ( 0.0016)   15.8 ( 0.0861)    1.0 ( 0.0054)    0.8 ( 0.0045)    0.2 ( 0.0009)    1.1 ( 0.0059)    3.7 ( 0.0200)    3.7 ( 0.0200)
   Nj5-HT2       12.2     1.6     1.9 ( 0.1593)    1.6 ( 0.1347)    0.2 ( 0.0186)    0.3 ( 0.0224)    0.1 ( 0.0099)    0.1 ( 0.0088)    0.1 ( 0.0091)    0.1 ( 0.0101)    0.1 ( 0.0055)    0.8 ( 0.0672)    0.2 ( 0.0139)    0.1 ( 0.0067)    0.0 ( 0.0011)    0.2 ( 0.0202)    0.2 ( 0.0200)    0.2 ( 0.0200)
   Nj1-HT3       35.6     2.7     6.3 ( 0.1767)    5.6 ( 0.1583)    1.7 ( 0.0476)    0.8 ( 0.0229)    0.4 ( 0.0099)    0.4 ( 0.0118)    0.3 ( 0.0091)    0.4 ( 0.0101)    0.2 ( 0.0063)    1.4 ( 0.0386)    0.7 ( 0.0197)    0.2 ( 0.0065)    0.1 ( 0.0035)    0.5 ( 0.0133)    0.7 ( 0.0200)    0.7 ( 0.0200)
   Nj2-HT3      260.6     6.6    26.3 ( 0.1009)   12.9 ( 0.0495)   13.2 ( 0.0508)    6.0 ( 0.0229)    2.6 ( 0.0099)    3.2 ( 0.0122)    2.4 ( 0.0091)    2.6 ( 0.0101)    0.8 ( 0.0030)   14.8 ( 0.0567)    2.5 ( 0.0097)    1.5 ( 0.0058)    0.9 ( 0.0035)    1.7 ( 0.0067)    5.2 ( 0.0200)    5.2 ( 0.0200)
