  lostlep ldp nsyst=14
  bin label    value   stat        total-syst           IsoTrk              MTW           Purity  SingleLepPurity       DiLepFound            MuIso           MuReco            MuAcc          MuAccQ2          ElecIso         ElecReco          ElecAcc        ElecAccQ2       NonClosure 
   Nj1-HT1      805.1    25.6   128.7 ( 0.1599)   81.7 ( 0.1015)    0.4 ( 0.0005)    3.2 ( 0.0039)    0.6 ( 0.0007)    2.3 ( 0.0029)   24.4 ( 0.0303)   55.2 ( 0.0686)   20.4 ( 0.0253)    9.9 ( 0.0123)   12.6 ( 0.0157)   57.0 ( 0.0708)    6.1 ( 0.0076)    7.2 ( 0.0089)   47.1 ( 0.0585)
   Nj2-HT1     1150.7    31.8   167.2 ( 0.1453)  116.8 ( 0.1015)    2.2 ( 0.0019)    4.8 ( 0.0042)    2.3 ( 0.0020)    8.2 ( 0.0072)   31.9 ( 0.0277)   73.2 ( 0.0636)   18.1 ( 0.0157)   19.2 ( 0.0167)   16.3 ( 0.0142)   75.9 ( 0.0660)    5.6 ( 0.0049)   14.2 ( 0.0124)   29.9 ( 0.0259)
   Nj3-HT1      144.2     7.6    23.6 ( 0.1637)   16.8 ( 0.1167)    0.5 ( 0.0032)    0.6 ( 0.0040)    0.6 ( 0.0043)    1.7 ( 0.0121)    3.9 ( 0.0272)    9.2 ( 0.0635)    2.2 ( 0.0152)    0.9 ( 0.0060)    2.3 ( 0.0163)    9.8 ( 0.0677)    0.8 ( 0.0059)    0.7 ( 0.0048)    8.0 ( 0.0552)
   Nj1-HT2      277.8    10.4    49.4 ( 0.1778)   25.7 ( 0.0924)    0.3 ( 0.0012)    1.0 ( 0.0037)    0.3 ( 0.0011)    0.9 ( 0.0034)    9.6 ( 0.0345)   22.6 ( 0.0812)    3.6 ( 0.0131)    0.9 ( 0.0031)    3.3 ( 0.0117)   20.0 ( 0.0721)    1.2 ( 0.0045)    0.8 ( 0.0030)   27.4 ( 0.0987)
   Nj2-HT2     1304.7    29.9   188.2 ( 0.1443)  120.5 ( 0.0924)    3.0 ( 0.0023)    5.6 ( 0.0043)    3.8 ( 0.0029)   11.7 ( 0.0089)   39.9 ( 0.0306)   95.2 ( 0.0730)   19.8 ( 0.0152)   23.8 ( 0.0183)   17.6 ( 0.0135)   89.6 ( 0.0687)    5.8 ( 0.0044)   16.4 ( 0.0126)   21.5 ( 0.0165)
   Nj3-HT2      745.8    21.2   111.7 ( 0.1498)   75.3 ( 0.1010)    2.5 ( 0.0034)    3.2 ( 0.0043)    3.4 ( 0.0045)   10.4 ( 0.0140)   21.6 ( 0.0289)   51.2 ( 0.0686)    6.5 ( 0.0087)    4.8 ( 0.0065)   10.9 ( 0.0147)   52.1 ( 0.0699)    3.5 ( 0.0047)    4.5 ( 0.0060)   25.7 ( 0.0344)
   Nj4-HT2      117.6     6.2    19.1 ( 0.1624)   12.8 ( 0.1088)    0.5 ( 0.0041)    0.5 ( 0.0042)    0.6 ( 0.0051)    2.1 ( 0.0175)    3.6 ( 0.0302)    8.2 ( 0.0701)    1.4 ( 0.0115)    0.3 ( 0.0027)    2.2 ( 0.0186)    8.0 ( 0.0679)    0.5 ( 0.0039)    0.3 ( 0.0026)    6.7 ( 0.0566)
   Nj5-HT2        6.6     1.2     1.3 ( 0.1921)    0.7 ( 0.1088)    0.0 ( 0.0045)    0.0 ( 0.0049)    0.0 ( 0.0048)    0.1 ( 0.0205)    0.2 ( 0.0307)    0.4 ( 0.0627)    0.1 ( 0.0117)    0.0 ( 0.0028)    0.1 ( 0.0123)    0.5 ( 0.0802)    0.0 ( 0.0046)    0.0 ( 0.0031)    0.8 ( 0.1136)
   Nj1-HT3       32.6     3.6     6.9 ( 0.2119)    2.1 ( 0.0659)    0.1 ( 0.0032)    0.1 ( 0.0034)    0.0 ( 0.0007)    0.1 ( 0.0021)    0.8 ( 0.0240)    1.8 ( 0.0548)    0.1 ( 0.0032)    0.1 ( 0.0021)    0.3 ( 0.0077)    1.6 ( 0.0503)    0.1 ( 0.0031)    0.0 ( 0.0013)    6.0 ( 0.1853)
   Nj2-HT3      215.7    11.4    28.7 ( 0.1331)   14.3 ( 0.0661)    0.9 ( 0.0040)    1.0 ( 0.0045)    0.8 ( 0.0035)    1.8 ( 0.0083)    6.0 ( 0.0280)   14.8 ( 0.0687)    3.6 ( 0.0167)    2.9 ( 0.0134)    2.8 ( 0.0130)   14.1 ( 0.0652)    1.4 ( 0.0064)    1.5 ( 0.0071)   11.3 ( 0.0526)
   Nj3-HT3      211.7     9.3    29.1 ( 0.1376)   16.6 ( 0.0785)    1.1 ( 0.0051)    0.8 ( 0.0039)    1.0 ( 0.0049)    3.1 ( 0.0149)    6.5 ( 0.0305)   15.2 ( 0.0720)    2.3 ( 0.0110)    1.5 ( 0.0069)    2.6 ( 0.0124)   14.4 ( 0.0679)    1.6 ( 0.0076)    1.2 ( 0.0057)    7.8 ( 0.0368)
