  znunu ldp nsyst=10
  bin label    value   stat        total-syst          hgJstat       hzvvDYstat     hzvvDYMCstat        hgJZgRerr     hzvvgJPurErr    hzvvZgDRerrUp     hzvvScaleErr    hzvvDYsysNjUp     hzvvDYsysKin     hzvvDYsysPur 
   Nj1-HT1     1345.7    20.2  311.6 ( 0.2316)   18.4 ( 0.0136)   14.1 ( 0.0104)    0.0 ( 0.0000)   47.1 ( 0.0350)    0.8 ( 0.0006)  291.2 ( 0.2164)   77.3 ( 0.0574)    0.0 ( 0.0000)   10.4 ( 0.0077)    5.2 ( 0.0039)
   Nj2-HT1     1403.0    20.5  324.9 ( 0.2316)   19.7 ( 0.0140)   16.7 ( 0.0119)    0.0 ( 0.0000)   47.7 ( 0.0340)    0.8 ( 0.0006)  303.4 ( 0.2162)   80.6 ( 0.0574)    0.0 ( 0.0000)   16.8 ( 0.0120)    8.7 ( 0.0062)
   Nj3-HT1      102.6     5.1   31.2 ( 0.3038)    5.9 ( 0.0572)    3.7 ( 0.0358)    0.0 ( 0.0000)   13.4 ( 0.1310)    0.0 ( 0.0004)   25.7 ( 0.2505)    5.9 ( 0.0574)    0.0 ( 0.0000)    2.1 ( 0.0207)    2.9 ( 0.0286)
   Nj1-HT2      369.6    10.4   87.3 ( 0.2363)   11.1 ( 0.0299)    3.9 ( 0.0104)    0.0 ( 0.0000)   16.3 ( 0.0440)    0.2 ( 0.0006)   80.6 ( 0.2180)   21.2 ( 0.0574)    0.0 ( 0.0000)    2.9 ( 0.0077)    1.4 ( 0.0039)
   Nj2-HT2     1080.8    18.4  248.0 ( 0.2295)   18.6 ( 0.0172)   13.3 ( 0.0123)    0.0 ( 0.0000)   27.0 ( 0.0250)    0.6 ( 0.0006)  232.3 ( 0.2150)   62.1 ( 0.0574)    0.0 ( 0.0000)   13.4 ( 0.0124)    7.0 ( 0.0065)
   Nj3-HT2      332.4    11.7   80.7 ( 0.2428)   10.9 ( 0.0327)   12.2 ( 0.0368)    0.0 ( 0.0000)   15.3 ( 0.0460)    0.2 ( 0.0006)   72.6 ( 0.2184)   19.1 ( 0.0574)    0.0 ( 0.0000)    7.1 ( 0.0212)    9.8 ( 0.0296)
   Nj4-HT2       32.1     3.9   12.0 ( 0.3724)    3.7 ( 0.1140)    4.2 ( 0.1313)    0.0 ( 0.0000)    5.2 ( 0.1610)    0.1 ( 0.0024)    8.6 ( 0.2674)    1.8 ( 0.0574)    0.0 ( 0.0000)    0.9 ( 0.0283)    1.4 ( 0.0443)
   Nj5-HT2        8.4     2.7   13.6 ( 1.6114)    3.8 ( 0.4472)    1.2 ( 0.1425)    0.4 ( 0.0418)    8.8 ( 1.0410)    2.0 ( 0.2424)    9.0 ( 1.0627)    0.5 ( 0.0574)    0.5 ( 0.0633)    0.3 ( 0.0306)    0.4 ( 0.0459)
   Nj1-HT3       39.1     3.8   11.7 ( 0.2995)    4.3 ( 0.1091)    0.4 ( 0.0104)    0.0 ( 0.0000)    4.4 ( 0.1130)    0.1 ( 0.0024)    9.4 ( 0.2416)    2.2 ( 0.0574)    0.0 ( 0.0000)    0.3 ( 0.0077)    0.2 ( 0.0039)
   Nj2-HT3      136.2     6.9   33.5 ( 0.2458)    8.0 ( 0.0587)    1.6 ( 0.0115)    0.0 ( 0.0000)    7.2 ( 0.0530)    0.1 ( 0.0004)   30.0 ( 0.2200)    7.8 ( 0.0574)    0.0 ( 0.0000)    1.6 ( 0.0116)    0.8 ( 0.0060)
   Nj3-HT3       79.5     5.1   20.9 ( 0.2627)    6.1 ( 0.0767)    2.8 ( 0.0357)    0.0 ( 0.0000)    5.4 ( 0.0680)    0.0 ( 0.0004)   17.8 ( 0.2241)    4.6 ( 0.0574)    0.0 ( 0.0000)    1.6 ( 0.0207)    2.3 ( 0.0285)
   Nj4-HT3       18.8     2.7    7.0 ( 0.3737)    3.0 ( 0.1601)    2.4 ( 0.1290)    0.0 ( 0.0000)    2.7 ( 0.1430)    0.0 ( 0.0024)    4.8 ( 0.2570)    1.1 ( 0.0574)    0.0 ( 0.0000)    0.5 ( 0.0278)    0.8 ( 0.0429)
   Nj5-HT3        3.0     1.0    2.6 ( 0.8472)    1.4 ( 0.4472)    0.4 ( 0.1425)    0.1 ( 0.0418)    1.4 ( 0.4550)    0.0 ( 0.0134)    1.5 ( 0.5026)    0.2 ( 0.0574)    0.2 ( 0.0633)    0.1 ( 0.0306)    0.1 ( 0.0459)
