

  Kqcd_ht1   0.062 +/- 0.010
  Kqcd_ht2   0.048 +/- 0.008
  Kqcd_ht3   0.036 +/- 0.006
  Kqcd_mht1   1.000 +/- 0.000
  Kqcd_mht2   0.472 +/- 0.130
  Kqcd_mht3   0.328 +/- 0.160
  Kqcd_mht4   0.308 +/- 0.300
  Kqcd_njets1   1.000 +/- 0.000
  Kqcd_njets2   1.450 +/- 0.150
  Kqcd_njets3   1.450 +/- 0.220
  Kqcd_njets4   2.110 +/- 0.400
  Kqcd_njets5   4.000 +/- 2.000




       Search bin          Nqcd_ldp   Rqcd       R*N     Kht1   Kht2   Kht3   Kmht2  Kmht3  Kmht4   Knj2   Knj3   Knj4  Knj5
  1 SB-Njet1-Nb0-HTMHT1     4428.64   0.069      304.17  1.161    -      -    1.011    -      -    1.033  1.019    -      -   
  2 SB-Njet1-Nb0-HTMHT2     5454.15   0.054      292.33    -    1.167    -    1.018    -      -    1.041  1.022    -      -   
  3 SB-Njet1-Nb0-HTMHT3     3515.45   0.039      137.34    -      -    1.167  1.033    -      -    1.041  1.032    -      -   
  4 SB-Njet1-Nb0-HTMHT4       19.43   0.019        0.36  1.016  1.150    -      -    1.488    -    1.033  1.017    -      -   
  5 SB-Njet1-Nb0-HTMHT5       79.13   0.014        1.13    -      -    1.167    -    1.488    -    1.034  1.037    -      -   
  6 SB-Njet1-Nb0-HTMHT6       22.17   0.012        0.27    -    1.005  1.162    -      -    1.974  1.017  1.016    -      -   
  7 SB-Njet1-Nb1-HTMHT1     1542.23   0.070      107.19  1.161    -      -    1.007    -      -    1.033  1.017    -      -   
  8 SB-Njet1-Nb1-HTMHT2     2403.53   0.053      128.56    -    1.167    -    1.018    -      -    1.040  1.022    -      -   
  9 SB-Njet1-Nb1-HTMHT3     1668.78   0.040       67.46    -      -    1.167  1.029    -      -    1.043  1.036    -      -   
 10 SB-Njet1-Nb1-HTMHT4        8.39   0.019        0.16  1.000  1.167    -      -    1.488    -    1.057  1.002    -      -   
 11 SB-Njet1-Nb1-HTMHT5       32.95   0.015        0.48    -      -    1.167    -    1.488    -    1.039  1.039    -      -   
 12 SB-Njet1-Nb1-HTMHT6        6.39   0.014        0.09    -    1.000  1.167    -      -    1.974  1.037  1.036    -      -   
 13 SB-Njet1-Nb2-HTMHT1      545.37   0.064       35.03  1.161    -      -    1.023    -      -    1.036  1.007    -      -   
 14 SB-Njet1-Nb2-HTMHT2      649.39   0.057       37.05    -    1.167    -    1.014    -      -    1.040  1.041    -      -   
 15 SB-Njet1-Nb2-HTMHT3      402.14   0.042       16.89    -      -    1.167  1.027    -      -    1.046  1.045    -      -   
 16 SB-Njet1-Nb2-HTMHT4       12.76   0.016        0.20  1.000  1.167    -      -    1.488    -    1.002  1.004    -      -   
 17 SB-Njet1-Nb2-HTMHT5        5.99   0.015        0.09    -      -    1.167    -    1.488    -    1.048  1.037    -      -   
 18 SB-Njet1-Nb2-HTMHT6        1.34   0.015        0.02    -    1.000  1.167    -      -    1.974  1.006  1.123    -      -   
 19 SB-Njet1-Nb3-HTMHT1      151.01   0.070       10.59  1.161    -      -    1.013    -      -    1.056  1.000    -      -   
 20 SB-Njet1-Nb3-HTMHT2      191.36   0.058       11.19    -    1.167    -    1.017    -      -    1.052  1.039    -      -   
 21 SB-Njet1-Nb3-HTMHT3       59.54   0.040        2.39    -      -    1.167  1.043    -      -    1.042  1.055    -      -   
 22 SB-Njet1-Nb3-HTMHT4        0.25   0.016        0.00  1.000  1.167    -      -    1.488    -    1.000  1.000    -      -   
 23 SB-Njet1-Nb3-HTMHT5        2.61   0.014        0.04    -      -    1.167    -    1.488    -    1.041  1.022    -      -   
 24 SB-Njet1-Nb3-HTMHT6        0.27   0.014        0.00    -    1.000  1.167    -      -    1.974  1.009  1.090    -      -   
 25 SB-Njet2-Nb0-HTMHT1       81.04   0.130       10.54  1.161    -      -    1.001    -      -      -      -    1.190    -   
 26 SB-Njet2-Nb0-HTMHT2      186.68   0.096       17.86    -    1.167    -    1.014    -      -      -      -    1.190    -   
 27 SB-Njet2-Nb0-HTMHT3      391.52   0.069       26.92    -      -    1.167  1.026    -      -      -      -    1.190    -   
 28 SB-Njet2-Nb0-HTMHT4        0.50   0.033        0.02  1.000  1.167    -      -    1.488    -      -      -    1.190    -   
 29 SB-Njet2-Nb0-HTMHT5        6.84   0.025        0.17    -      -    1.167    -    1.488    -      -      -    1.190    -   
 30 SB-Njet2-Nb0-HTMHT6        0.54   0.023        0.01    -    1.000  1.167    -      -    1.974    -      -    1.190    -   
 31 SB-Njet2-Nb1-HTMHT1       34.75   0.131        4.55  1.161    -      -    1.000    -      -      -      -    1.190    -   
 32 SB-Njet2-Nb1-HTMHT2      226.10   0.094       21.18    -    1.167    -    1.020    -      -      -      -    1.190    -   
