Bin &  HT    & MHT    & NJets & BTags & N_CS_mu+N_CS_elec & Pred.Weight+-stat.unc.+sysUp-sysDown & Prediction+-stat.unc.+sysUp-sysDown \\
1 & 500-800 & 200-500 & 4-6 & -1-0 & 4178.5 & 0.397+-0.000815+0-0 & 1668.1+-25.805+500.42-500.42 \\
2 & 800-1200 & 200-500 & 4-6 & -1-0 & 938.35 & 0.368+-0.00135+0-0 & 348.61+-11.38+104.58-104.58 \\
3 & 1200-99999 & 200-500 & 4-6 & -1-0 & 212.9 & 0.347+-0.00233+0-0 & 75.478+-5.1728+22.643-22.643 \\
4 & 500-1200 & 500-750 & 4-6 & -1-0 & 190.14 & 0.38+-0.00294+0-0 & 72.903+-5.287+21.871-21.871 \\
5 & 1200-99999 & 500-750 & 4-6 & -1-0 & 26.705 & 0.301+-0.00541+0-0 & 8.1244+-1.5722+2.4373-2.4373 \\
6 & 800-99999 & 750-9999 & 4-6 & -1-0 & 24.773 & 0.328+-0.00556+0-0 & 8.194+-1.6463+2.4582-2.4582 \\
7 & 500-800 & 200-500 & 7-8 & -1-0 & 341.99 & 0.305+-0.00313+0-0 & 104.58+-5.6552+31.375-31.375 \\
8 & 800-1200 & 200-500 & 7-8 & -1-0 & 204.21 & 0.289+-0.00376+0-0 & 59.757+-4.1817+17.927-17.927 \\
9 & 1200-99999 & 200-500 & 7-8 & -1-0 & 63.21 & 0.265+-0.00521+0-0 & 17.123+-2.1537+5.137-5.137 \\
10 & 500-1200 & 500-750 & 7-8 & -1-0 & 12.489 & 0.226+-0.007+0-0 & 2.8255+-0.79955+0.84766-0.84766 \\
11 & 1200-99999 & 500-750 & 7-8 & -1-0 & 6.9569 & 0.184+-0.00909+0-0 & 1.3055+-0.49497+0.39166-0.39166 \\
12 & 800-99999 & 750-9999 & 7-8 & -1-0 & 2.821 & 0.248+-0.0188+0-0 & 0.6894+-0.41046+0.20682-0.20682 \\
13 & 500-800 & 200-500 & 9-9999 & -1-0 & 17.872 & 0.302+-0.0129+0-0 & 5.4477+-1.2886+1.6343-1.6343 \\
14 & 800-1200 & 200-500 & 9-9999 & -1-0 & 31.978 & 0.273+-0.00871+0-0 & 8.7495+-1.5472+2.6249-2.6249 \\
15 & 1200-99999 & 200-500 & 9-9999 & -1-0 & 16.254 & 0.238+-0.00905+0-0 & 3.8823+-0.96296+1.1647-1.1647 \\
