DR | DR cv error | DR shape up | DR shape down | 0b purity | purity error | trig eff | trig eff error | lepton SF | lepton SF error | btag SF | btag SF error |
1.003 | 0.0122 | 0.012 | 0.0034 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0245 | 0.0183 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.09 | 0.0758 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.018 | 0.0072 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0245 | 0.0183 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.09 | 0.0758 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0483 | 0.0363 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0483 | 0.0363 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.09 | 0.0758 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0797 | 0.0612 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0368 | 0.031 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0368 | 0.031 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.09 | 0.0758 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0368 | 0.031 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0368 | 0.031 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.09 | 0.0758 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0483 | 0.0363 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0483 | 0.0363 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.09 | 0.0758 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0797 | 0.0612 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0799 | 0.0719 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0799 | 0.0719 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.09 | 0.0758 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0799 | 0.0719 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0799 | 0.0719 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.09 | 0.0758 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0799 | 0.0719 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.0799 | 0.0719 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.003 | 0.0122 | 0.09 | 0.0758 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
