
1  28517.3 +/- 107.906 + 1595.15 - 1561.02  TF = 0.408306, Ngobs = 69843
2  1470.18 +/- 23.7901 + 88.7449 - 85.4523  TF = 0.384965, Ngobs = 3819
3  111.468 +/- 7.04984 + 12.3951 - 11.1529  TF = 0.445871, Ngobs = 250
4  25143.9 +/- 102.352 + 1447.79 - 1387.09  TF = 0.416642, Ngobs = 60349
5  4372.53 +/- 41.4184 + 262.195 - 252.335  TF = 0.392331, Ngobs = 11145
6  220.549 +/- 9.41278 + 23.8086 - 21.268  TF = 0.401728, Ngobs = 549
7  1903.7 +/- 27.9232 + 140.348 - 126.564  TF = 0.409573, Ngobs = 4648
8  79.9799 +/- 5.62737 + 6.79675 - 6.30093  TF = 0.39594, Ngobs = 202
9  360.142 +/- 13.661 + 38.8108 - 34.6541  TF = 0.51819, Ngobs = 695
10  26.7478 +/- 3.98733 + 3.90265 - 3.65592  TF = 0.594396, Ngobs = 45
11  2754.77 +/- 10.4238 + 260.396 - 258.459  TF = 0.0394423, Ngobs = 69843
12  162.308 +/- 2.62643 + 15.7781 - 15.555  TF = 0.0425001, Ngobs = 3819
13  12.607 +/- 0.797337 + 1.69944 - 1.58553  TF = 0.050428, Ngobs = 250
14  2416.33 +/- 9.83606 + 230.777 - 227.308  TF = 0.0400393, Ngobs = 60349
15  475.294 +/- 4.50217 + 46.0861 - 45.4311  TF = 0.0426464, Ngobs = 11145
16  24.128 +/- 1.02976 + 3.18816 - 2.96543  TF = 0.043949, Ngobs = 549
17  190.179 +/- 2.78952 + 20.1639 - 19.2319  TF = 0.0409164, Ngobs = 4648
18  8.80579 +/- 0.619573 + 1.00509 - 0.965136  TF = 0.043593, Ngobs = 202
19  36.0862 +/- 1.36883 + 4.76277 - 4.42923  TF = 0.0519226, Ngobs = 695
20  2.93691 +/- 0.437809 + 0.483428 - 0.459586  TF = 0.0652647, Ngobs = 45
21  253.804 +/- 0.960366 + 37.5967 - 37.4831  TF = 0.00363392, Ngobs = 69843
22  17.4952 +/- 0.283102 + 2.62184 - 2.6063  TF = 0.00458108, Ngobs = 3819
23  1.39335 +/- 0.088123 + 0.246034 - 0.236563  TF = 0.00557339, Ngobs = 250
24  221.266 +/- 0.900701 + 32.9159 - 32.7129  TF = 0.00366645, Ngobs = 60349
25  50.7214 +/- 0.480453 + 7.593 - 7.54792  TF = 0.00455104, Ngobs = 11145
26  2.58042 +/- 0.11013 + 0.450415 - 0.432662  TF = 0.00470021, Ngobs = 549
27  18.2755 +/- 0.268062 + 2.84592 - 2.78571  TF = 0.0039319, Ngobs = 4648
28  0.951761 +/- 0.0669656 + 0.153574 - 0.15055  TF = 0.00471169, Ngobs = 202
29  3.49338 +/- 0.132511 + 0.60937 - 0.58532  TF = 0.00502644, Ngobs = 695
30  0.315624 +/- 0.0470505 + 0.063206 - 0.0611173  TF = 0.00701387, Ngobs = 45
31  4557.41 +/- 42.5592 + 309.637 - 296.155  TF = 0.397437, Ngobs = 11467
32  1158.64 +/- 20.0573 + 81.5151 - 78.21  TF = 0.347211, Ngobs = 3337
33  104.938 +/- 6.4831 + 11.7259 - 10.5627  TF = 0.400527, Ngobs = 262
34  3750.06 +/- 38.5519 + 250.026 - 238.711  TF = 0.396328, Ngobs = 9462
35  2795.93 +/- 31.9374 + 187.744 - 179.37  TF = 0.364814, Ngobs = 7664
36  200.316 +/- 8.62021 + 21.7705 - 19.4803  TF = 0.370955, Ngobs = 540
37  485.747 +/- 13.3044 + 36.2293 - 32.7571  TF = 0.364401, Ngobs = 1333
38  62.2832 +/- 4.64231 + 5.28167 - 4.89468  TF = 0.346018, Ngobs = 180
39  119.286 +/- 7.3978 + 13.2828 - 11.9555  TF = 0.458792, Ngobs = 260
40  12.0509 +/- 2.2378 + 1.72712 - 1.61382  TF = 0.41555, Ngobs = 29
41  865.452 +/- 8.08198 + 93.7794 - 92.1957  TF = 0.0754732, Ngobs = 11467
42  225.82 +/- 3.90916 + 24.8148 - 24.4074  TF = 0.0676715, Ngobs = 3337
43  20.6623 +/- 1.27652 + 2.89358 - 2.71434  TF = 0.0788639, Ngobs = 262
44  712.136 +/- 7.32101 + 76.6029 - 75.29  TF = 0.0752627, Ngobs = 9462
45  542.691 +/- 6.19904 + 58.5366 - 57.5388  TF = 0.0708104, Ngobs = 7664
46  39.5022 +/- 1.69991 + 5.436 - 5.08687  TF = 0.0731523, Ngobs = 540
47  93.5062 +/- 2.56109 + 10.5328 - 10.1027  TF = 0.0701472, Ngobs = 1333
48  12.2636 +/- 0.914072 + 1.46737 - 1.41439  TF = 0.0681309, Ngobs = 180
49  23.0222 +/- 1.42778 + 3.21694 - 3.01676  TF = 0.0885469, Ngobs = 260
50  2.34752 +/- 0.435924 + 0.390465 - 0.371615  TF = 0.0809491, Ngobs = 29
51  130.798 +/- 1.22145 + 21.3921 - 21.2343  TF = 0.0114064, Ngobs = 11467
52  35.4545 +/- 0.613752 + 5.83467 - 5.79216  TF = 0.0106247, Ngobs = 3337
53  3.28457 +/- 0.202921 + 0.611132 - 0.589985  TF = 0.0125365, Ngobs = 262
54  107.627 +/- 1.10644 + 17.5462 - 17.4159  TF = 0.0113746, Ngobs = 9462
55  84.7168 +/- 0.967702 + 13.8278 - 13.7253  TF = 0.0110539, Ngobs = 7664
56  6.28991 +/- 0.270675 + 1.15886 - 1.11794  TF = 0.011648, Ngobs = 540
57  14.4267 +/- 0.39514 + 2.4009 - 2.35648  TF = 0.0108227, Ngobs = 1333
58  1.94946 +/- 0.145304 + 0.333832 - 0.328002  TF = 0.0108304, Ngobs = 180
59  3.56665 +/- 0.221194 + 0.662787 - 0.639794  TF = 0.0137179, Ngobs = 260
60  0.367554 +/- 0.068253 + 0.0759274 - 0.0735719  TF = 0.0126743, Ngobs = 29
61  16.4067 +/- 0.153213 + 5.90034 - 5.89137  TF = 0.00143077, Ngobs = 11467
62  4.98217 +/- 0.0862463 + 1.79405 - 1.79133  TF = 0.00149301, Ngobs = 3337
63  0.482716 +/- 0.0298223 + 0.178803 - 0.177262  TF = 0.00184243, Ngobs = 262
64  13.5002 +/- 0.138787 + 4.85188 - 4.84449  TF = 0.00142678, Ngobs = 9462
65  11.7429 +/- 0.134137 + 4.22137 - 4.21494  TF = 0.00153222, Ngobs = 7664
66  0.921452 +/- 0.039653 + 0.340476 - 0.337527  TF = 0.00170639, Ngobs = 540
67  1.94299 +/- 0.0532175 + 0.701311 - 0.698573  TF = 0.0014576, Ngobs = 1333
68  0.286503 +/- 0.0213546 + 0.104056 - 0.103655  TF = 0.00159168, Ngobs = 180
69  0.477144 +/- 0.0295912 + 0.176684 - 0.17516  TF = 0.00183517, Ngobs = 260
70  0.0518191 +/- 0.00962256 + 0.0197497 - 0.0195717  TF = 0.00178686, Ngobs = 29
71  285.259 +/- 11.0619 + 32.185 - 30.6114  TF = 0.428961, Ngobs = 665
72  258.832 +/- 9.42611 + 27.9125 - 26.415  TF = 0.343279, Ngobs = 754
73  35.7378 +/- 3.72592 + 4.6731 - 4.33945  TF = 0.388454, Ngobs = 92
74  198.344 +/- 9.27815 + 21.424 - 20.2783  TF = 0.434013, Ngobs = 457
75  496.095 +/- 13.1143 + 50.8258 - 47.7952  TF = 0.346677, Ngobs = 1431
76  68.7758 +/- 4.87539 + 8.09122 - 7.37099  TF = 0.345607, Ngobs = 199
77  53.2996 +/- 4.14937 + 5.89288 - 5.5925  TF = 0.323028, Ngobs = 165
78  20.5269 +/- 2.48925 + 2.69537 - 2.59871  TF = 0.301866, Ngobs = 68
79  10.2269 +/- 1.89908 + 1.48161 - 1.39604  TF = 0.352651, Ngobs = 29
80  5.59221 +/- 1.39805 + 1.46226 - 1.44922  TF = 0.349513, Ngobs = 16
81  96.988 +/- 3.76103 + 16.6541 - 16.3075  TF = 0.145847, Ngobs = 665
82  87.6924 +/- 3.19357 + 14.7742 - 14.4547  TF = 0.116303, Ngobs = 754
83  12.0651 +/- 1.25787 + 2.2199 - 2.14131  TF = 0.131142, Ngobs = 92
84  67.5163 +/- 3.15828 + 11.3825 - 11.1367  TF = 0.147738, Ngobs = 457
85  168.127 +/- 4.44444 + 27.7545 - 27.1291  TF = 0.117489, Ngobs = 1431
86  23.2393 +/- 1.64739 + 4.06496 - 3.90543  TF = 0.116781, Ngobs = 199
87  18.0579 +/- 1.40581 + 3.07405 - 3.00895  TF = 0.109442, Ngobs = 165
88  6.9422 +/- 0.841866 + 1.28003 - 1.25696  TF = 0.102091, Ngobs = 68
89  3.47611 +/- 0.645498 + 0.675331 - 0.65393  TF = 0.119866, Ngobs = 29
90  1.87954 +/- 0.469886 + 0.548389 - 0.544463  TF = 0.117471, Ngobs = 16
91  21.48 +/- 0.832958 + 5.4231 - 5.37119  TF = 0.0323007, Ngobs = 665
92  19.4642 +/- 0.708844 + 4.87156 - 4.8241  TF = 0.0258146, Ngobs = 754
93  2.68391 +/- 0.279816 + 0.700445 - 0.688233  TF = 0.0291729, Ngobs = 92
94  14.9353 +/- 0.698645 + 3.73918 - 3.70278  TF = 0.0326812, Ngobs = 457
95  37.3064 +/- 0.986196 + 9.25232 - 9.16052  TF = 0.0260701, Ngobs = 1431
96  5.16506 +/- 0.366141 + 1.31535 - 1.29125  TF = 0.0259551, Ngobs = 199
97  4.00813 +/- 0.312032 + 1.00791 - 0.99819  TF = 0.0242917, Ngobs = 165
98  1.54362 +/- 0.187192 + 0.40328 - 0.399676  TF = 0.0227004, Ngobs = 68
99  0.770083 +/- 0.143001 + 0.206636 - 0.203229  TF = 0.0265546, Ngobs = 29
100  0.419416 +/- 0.104854 + 0.144917 - 0.144178  TF = 0.0262135, Ngobs = 16
101  2.59585 +/- 0.100663 + 1.62388 - 1.62136  TF = 0.00390354, Ngobs = 665
102  2.09654 +/- 0.0763515 + 1.30968 - 1.30764  TF = 0.00278056, Ngobs = 754
103  0.260886 +/- 0.0271992 + 0.16411 - 0.163621  TF = 0.00283571, Ngobs = 92
104  1.86444 +/- 0.0872146 + 1.16475 - 1.16293  TF = 0.00407973, Ngobs = 457
105  4.11759 +/- 0.108849 + 2.56847 - 2.56446  TF = 0.00287742, Ngobs = 1431
106  0.515818 +/- 0.0365654 + 0.323137 - 0.322166  TF = 0.00259205, Ngobs = 199
107  0.437057 +/- 0.0340248 + 0.273232 - 0.272807  TF = 0.00264883, Ngobs = 165
108  0.158057 +/- 0.0191673 + 0.0994439 - 0.0992913  TF = 0.00232437, Ngobs = 68
109  0.0920418 +/- 0.0170917 + 0.0581828 - 0.0580111  TF = 0.00317385, Ngobs = 29
110  0.0341125 +/- 0.00852813 + 0.0228064 - 0.0227754  TF = 0.00213203, Ngobs = 16
111  24.0338 +/- 2.95835 + 3.49674 - 3.25952  TF = 0.364148, Ngobs = 66
112  7.35669 +/- 1.56845 + 1.54901 - 1.49975  TF = 0.334395, Ngobs = 22
113  41.9113 +/- 3.92535 + 5.84524 - 5.41229  TF = 0.367643, Ngobs = 114
114  13.084 +/- 2.09512 + 1.98142 - 1.85769  TF = 0.335488, Ngobs = 39
115  3.68048 +/- 1.02078 + 0.845452 - 0.822923  TF = 0.283114, Ngobs = 13
116  3.47783 +/- 0.964576 + 0.659944 - 0.634007  TF = 0.267525, Ngobs = 13
117  1.57176 +/- 0.702913 + 0.329996 - 0.319441  TF = 0.314352, Ngobs = 5
118  0.368384 +/- 0.368384 + 0.0993636 - 0.0990929  TF = 0.368384, Ngobs = 1
119  35.0196 +/- 4.31062 + 14.2414 - 14.1214  TF = 0.5306, Ngobs = 66
120  9.69243 +/- 2.06643 + 4.20864 - 4.17756  TF = 0.440565, Ngobs = 22
121  58.6465 +/- 5.49274 + 23.7256 - 23.5236  TF = 0.514443, Ngobs = 114
122  17.8702 +/- 2.86152 + 7.30593 - 7.24503  TF = 0.458209, Ngobs = 39
123  5.67897 +/- 1.57506 + 2.52046 - 2.50265  TF = 0.436844, Ngobs = 13
124  4.75002 +/- 1.31742 + 2.01649 - 2.00091  TF = 0.365386, Ngobs = 13
125  1.4784 +/- 0.66116 + 0.641516 - 0.636772  TF = 0.29568, Ngobs = 5
126  0.176751 +/- 0.176751 + 0.0823295 - 0.0822544  TF = 0.176751, Ngobs = 1
127  12.2692 +/- 1.51024 + 6.25232 - 6.21882  TF = 0.185898, Ngobs = 66
128  4.64943 +/- 0.991261 + 2.47274 - 2.46058  TF = 0.211338, Ngobs = 22
129  23.5038 +/- 2.20134 + 11.9377 - 11.8733  TF = 0.206174, Ngobs = 114
130  7.71827 +/- 1.23591 + 3.94652 - 3.92552  TF = 0.197904, Ngobs = 39
131  1.60358 +/- 0.444754 + 0.865466 - 0.861334  TF = 0.123353, Ngobs = 13
132  2.05157 +/- 0.569004 + 1.07492 - 1.06948  TF = 0.157813, Ngobs = 13
133  1.50905 +/- 0.674867 + 0.802207 - 0.798259  TF = 0.30181, Ngobs = 5
134  0.501444 +/- 0.501444 + 0.279764 - 0.279586  TF = 0.501444, Ngobs = 1
135  1.77129 +/- 0.218031 + 1.89681 - 1.89452  TF = 0.0268377, Ngobs = 66
136  0.464207 +/- 0.0989692 + 0.502099 - 0.501504  TF = 0.0211003, Ngobs = 22
137  2.90445 +/- 0.272027 + 3.10795 - 3.10418  TF = 0.0254776, Ngobs = 114
138  0.874013 +/- 0.139954 + 0.936671 - 0.935538  TF = 0.0224106, Ngobs = 39
139  0.294806 +/- 0.0817645 + 0.320018 - 0.319641  TF = 0.0226774, Ngobs = 13
140  0.232319 +/- 0.0644337 + 0.250387 - 0.250088  TF = 0.0178707, Ngobs = 13
141  0.0545401 +/- 0.0243911 + 0.0589857 - 0.0589157  TF = 0.010908, Ngobs = 5
142  0.026671 +/- 0.026671 + 0.0291964 - 0.0291916  TF = 0.026671, Ngobs = 1
143  2.19642 +/- 0.896686 + 0.407661 - 0.376469  TF = 0.366071, Ngobs = 6
144  1.33617 +/- 0.668083 + 0.32071 - 0.306273  TF = 0.334042, Ngobs = 4
145  1.10525 +/- 0.638115 + 0.199972 - 0.183835  TF = 0.368416, Ngobs = 3
146  1.67215 +/- 0.74781 + 0.31833 - 0.295225  TF = 0.334431, Ngobs = 5
147  0.292775 +/- 0.292775 + 0.0753918 - 0.0724522  TF = 0.292775, Ngobs = 0
148  0.269462 +/- 0.269462 + 0.0598534 - 0.0566947  TF = 0.269462, Ngobs = 1
149  0.322744 +/- 0.322744 + 0.0774378 - 0.0739493  TF = 0.322744, Ngobs = 0
150  0.368384 +/- 0.368384 + 0.10805 - 0.106347  TF = 0.368384, Ngobs = 1
151  3.00185 +/- 1.2255 + 1.85742 - 1.84508  TF = 0.500309, Ngobs = 6
152  1.61957 +/- 0.809784 + 1.03338 - 1.02693  TF = 0.404892, Ngobs = 4
153  1.43892 +/- 0.830762 + 0.888876 - 0.882951  TF = 0.479641, Ngobs = 3
154  2.11527 +/- 0.945979 + 1.31311 - 1.30445  TF = 0.423055, Ngobs = 5
155  0.428886 +/- 0.428886 + 0.275983 - 0.274288  TF = 0.428886, Ngobs = 0
156  0.340869 +/- 0.340869 + 0.21517 - 0.213796  TF = 0.340869, Ngobs = 1
157  0.265553 +/- 0.265553 + 0.170192 - 0.169138  TF = 0.265553, Ngobs = 0
158  0.14588 +/- 0.14588 + 0.0972949 - 0.0970001  TF = 0.14588, Ngobs = 1
159  1.88036 +/- 0.767653 + 1.18154 - 1.17393  TF = 0.313393, Ngobs = 6
160  1.36289 +/- 0.681445 + 0.88311 - 0.877762  TF = 0.340722, Ngobs = 4
161  1.02291 +/- 0.590576 + 0.641952 - 0.637807  TF = 0.340969, Ngobs = 3
162  1.61296 +/- 0.721337 + 1.01735 - 1.01084  TF = 0.322592, Ngobs = 5
163  0.219201 +/- 0.219201 + 0.143008 - 0.142154  TF = 0.219201, Ngobs = 0
164  0.259923 +/- 0.259923 + 0.166619 - 0.165588  TF = 0.259923, Ngobs = 1
165  0.453907 +/- 0.453907 + 0.296164 - 0.294395  TF = 0.453907, Ngobs = 0
166  0.659997 +/- 0.659997 + 0.449164 - 0.447857  TF = 0.659997, Ngobs = 1
167  0.200314 +/- 0.0817778 + 0.278091 - 0.277725  TF = 0.0333856, Ngobs = 6
168  0.0982082 +/- 0.0491041 + 0.137354 - 0.137176  TF = 0.0245521, Ngobs = 4
169  0.0923987 +/- 0.0533464 + 0.128293 - 0.128124  TF = 0.0307996, Ngobs = 3
170  0.132769 +/- 0.0593761 + 0.184582 - 0.184339  TF = 0.0265538, Ngobs = 5
171  0.0302437 +/- 0.0302437 + 0.0422961 - 0.0422412  TF = 0.0302437, Ngobs = 0
172  0.0213953 +/- 0.0213953 + 0.0298453 - 0.0298064  TF = 0.0213953, Ngobs = 1
173  0.0112315 +/- 0.0112315 + 0.015778 - 0.0157577  TF = 0.0112315, Ngobs = 0
174  0.0228398 +/- 0.0228398 + 0.0325179 - 0.0324963  TF = 0.0228398, Ngobs = 1
