DR | DR cv error | DR shape up | DR shape down | 0b purity | purity error | trig eff | trig eff error | lepton SF | lepton SF error | btag SF | btag SF error |
1.0195 | 0.0069 | 0.0101 | 0.0076 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0253 | 0.0236 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.096 | 0.0915 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0101 | 0.0076 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0253 | 0.0236 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.096 | 0.0915 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0389 | 0.035 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0389 | 0.035 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.096 | 0.0915 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0644 | 0.0584 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0326 | 0.0308 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0326 | 0.0308 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.096 | 0.0915 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0326 | 0.0308 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0326 | 0.0308 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.096 | 0.0915 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0389 | 0.035 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0389 | 0.035 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.096 | 0.0915 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0644 | 0.0584 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0742 | 0.0718 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0742 | 0.0718 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.096 | 0.0915 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0742 | 0.0718 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0742 | 0.0718 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.096 | 0.0915 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0742 | 0.0718 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0195 | 0.0069 | 0.0742 | 0.0718 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
