 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 0 0 0| |   2553|   1967| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 1| |    151|    108| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 2| |      8|      3| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 3| |   2301|   1860| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 4| |    449|    394| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 5| |     13|     11| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 6| |    174|    175| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 7| |      6|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 8| |     27|     28| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 9| |      3|      1| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 1 0| |    296|    225| 0.1144| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 1| |     23|     26| 0.1244| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 2| |      3|      2| 0.1235| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 3| |    236|    222| 0.1142| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 4| |     70|     58| 0.1237| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 5| |      2|      3| 0.1255| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 6| |     14|     20| 0.1166| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 7| |      0|      1| 0.1231| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 8| |      6|      2| 0.1179| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 9| |      0|      0| 0.1224| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 2 0| |     16|     20| 0.0084| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
