
1  22670.4 +/- 93.7954 + 705.623 - 689.845  TF = 0.388065, Ngobs = 58419
2  1265.39 +/- 21.9778 + 40.7618 - 39.7023  TF = 0.381717, Ngobs = 3315
3  78.0346 +/- 5.55973 + 5.11991 - 4.63438  TF = 0.396115, Ngobs = 197
4  19415.2 +/- 87.3283 + 588.866 - 564.841  TF = 0.392797, Ngobs = 49428
5  3675.41 +/- 37.905 + 115.018 - 109.975  TF = 0.390918, Ngobs = 9402
6  164.994 +/- 8.22917 + 10.1036 - 8.99503  TF = 0.410434, Ngobs = 402
7  1542.04 +/- 25.1079 + 94.6949 - 90.9873  TF = 0.408812, Ngobs = 3772
8  64.6039 +/- 5.42144 + 4.62541 - 4.49289  TF = 0.454957, Ngobs = 142
9  260.122 +/- 10.6372 + 24.7044 - 23.6491  TF = 0.434987, Ngobs = 598
10  14.1061 +/- 2.71473 + 1.79124 - 1.74885  TF = 0.522449, Ngobs = 27
11  2593.49 +/- 10.7302 + 405.307 - 404.951  TF = 0.0443946, Ngobs = 58419
12  157.288 +/- 2.73184 + 24.6154 - 24.5887  TF = 0.0474475, Ngobs = 3315
13  9.62947 +/- 0.686071 + 1.60437 - 1.58173  TF = 0.0488805, Ngobs = 197
14  2217.21 +/- 9.97289 + 346.156 - 345.634  TF = 0.0448574, Ngobs = 49428
15  454.649 +/- 4.68884 + 71.0671 - 70.9449  TF = 0.0483566, Ngobs = 9402
16  20.6903 +/- 1.03194 + 3.41259 - 3.36345  TF = 0.0514684, Ngobs = 402
17  179.648 +/- 2.92507 + 29.642 - 29.484  TF = 0.0476266, Ngobs = 3772
18  7.94628 +/- 0.666837 + 1.34337 - 1.33655  TF = 0.0559597, Ngobs = 142
19  30.6424 +/- 1.25306 + 5.52192 - 5.45742  TF = 0.0512414, Ngobs = 598
20  1.72518 +/- 0.332011 + 0.343215 - 0.33993  TF = 0.0638956, Ngobs = 27
21  190.431 +/- 0.787881 + 60.8879 - 60.8752  TF = 0.00325974, Ngobs = 58419
22  14.1724 +/- 0.246151 + 4.53297 - 4.53179  TF = 0.00427523, Ngobs = 3315
