
1  90680.3 +/- 189.66 + 5047.15 - 5013.68  TF = 0.396678, Ngobs = 228599
2  4995.03 +/- 44.1038 + 281.16 - 279.337  TF = 0.389416, Ngobs = 12827
3  327.32 +/- 11.9282 + 27.0221 - 25.2894  TF = 0.434688, Ngobs = 753
4  80539 +/- 181.786 + 4422.58 - 4362.55  TF = 0.410315, Ngobs = 196286
5  14856.2 +/- 77.1305 + 823.051 - 811.913  TF = 0.400447, Ngobs = 37099
6  701.763 +/- 16.9358 + 54.1617 - 50.1683  TF = 0.408715, Ngobs = 1717
7  6476.74 +/- 52.1285 + 523.181 - 511.412  TF = 0.419559, Ngobs = 15437
8  240.966 +/- 10.0142 + 21.9951 - 21.6085  TF = 0.416176, Ngobs = 579
9  1215.01 +/- 24.8427 + 139.258 - 135.216  TF = 0.507947, Ngobs = 2392
10  65.5507 +/- 6.16649 + 10.5252 - 10.3707  TF = 0.580095, Ngobs = 113
11  8959.21 +/- 18.7384 + 815.909 - 813.892  TF = 0.0391918, Ngobs = 228599
12  555.448 +/- 4.90434 + 50.7986 - 50.674  TF = 0.043303, Ngobs = 12827
13  36.6271 +/- 1.33477 + 4.01416 - 3.87021  TF = 0.0486416, Ngobs = 753
14  7933.09 +/- 17.906 + 718.857 - 715.289  TF = 0.040416, Ngobs = 196286
15  1632.69 +/- 8.47664 + 148.432 - 147.689  TF = 0.0440091, Ngobs = 37099
16  78.5975 +/- 1.89681 + 8.30027 - 7.97925  TF = 0.045776, Ngobs = 1717
17  658.037 +/- 5.29625 + 71.241 - 70.3534  TF = 0.0426272, Ngobs = 15437
18  26.5545 +/- 1.10357 + 3.08849 - 3.05518  TF = 0.0458626, Ngobs = 579
19  124.295 +/- 2.54141 + 16.8292 - 16.4807  TF = 0.051963, Ngobs = 2392
20  7.1778 +/- 0.675231 + 1.26332 - 1.2479  TF = 0.0635204, Ngobs = 113
21  825.19 +/- 1.72591 + 104.456 - 104.322  TF = 0.00360977, Ngobs = 228599
22  60.9394 +/- 0.538066 + 7.7309 - 7.72105  TF = 0.00475087, Ngobs = 12827
23  4.05877 +/- 0.14791 + 0.570269 - 0.557915  TF = 0.00539013, Ngobs = 753
24  724.851 +/- 1.63608 + 91.518 - 91.2843  TF = 0.00369283, Ngobs = 196286
25  176.788 +/- 0.917852 + 22.3586 - 22.3009  TF = 0.00476532, Ngobs = 37099
26  8.70186 +/- 0.210004 + 1.19575 - 1.16865  TF = 0.00506806, Ngobs = 1717
27  63.472 +/- 0.510859 + 8.8522 - 8.7859  TF = 0.00411168, Ngobs = 15437
28  2.89159 +/- 0.120171 + 0.421592 - 0.418704  TF = 0.00499412, Ngobs = 579
29  12.1501 +/- 0.248427 + 1.96149 - 1.933  TF = 0.00507947, Ngobs = 2392
30  0.773499 +/- 0.0727646 + 0.152179 - 0.150695  TF = 0.00684512, Ngobs = 113
31  14613.5 +/- 75.1548 + 924.769 - 911.838  TF = 0.386508, Ngobs = 37809
32  3819.69 +/- 36.8626 + 251.507 - 248.26  TF = 0.35575, Ngobs = 10737
33  325.121 +/- 11.4448 + 26.9181 - 25.2023  TF = 0.402877, Ngobs = 807
34  12027.2 +/- 68.9206 + 744.179 - 733.291  TF = 0.394942, Ngobs = 30453
35  9307.2 +/- 59.2779 + 580.453 - 572.095  TF = 0.377543, Ngobs = 24652
36  697.036 +/- 16.3839 + 54.3709 - 50.4496  TF = 0.385103, Ngobs = 1810
37  1697.82 +/- 25.657 + 138.545 - 135.492  TF = 0.38772, Ngobs = 4379
38  221.651 +/- 9.18772 + 20.0737 - 19.7153  TF = 0.380843, Ngobs = 582
39  400.123 +/- 13.5811 + 47.3664 - 46.0788  TF = 0.460971, Ngobs = 868
40  44.4301 +/- 4.48811 + 6.72555 - 6.61434  TF = 0.453368, Ngobs = 98
41  2706.42 +/- 13.9187 + 265.822 - 264.286  TF = 0.0715814, Ngobs = 37809
42  739.109 +/- 7.13292 + 73.8295 - 73.4169  TF = 0.0688376, Ngobs = 10737
43  64.179 +/- 2.25921 + 7.17463 - 6.92754  TF = 0.0795279, Ngobs = 807
44  2223.83 +/- 12.7434 + 216.419 - 215.145  TF = 0.0730249, Ngobs = 30453
45  1788.84 +/- 11.3932 + 174.648 - 173.626  TF = 0.0725638, Ngobs = 24652
46  137.734 +/- 3.23745 + 14.9154 - 14.3673  TF = 0.0760964, Ngobs = 1810
47  321.059 +/- 4.85173 + 35.6089 - 35.1863  TF = 0.0733178, Ngobs = 4379
48  43.4435 +/- 1.80079 + 5.11166 - 5.05779  TF = 0.0746452, Ngobs = 582
49  75.2631 +/- 2.5546 + 10.5519 - 10.3482  TF = 0.0867086, Ngobs = 868
50  8.68608 +/- 0.877426 + 1.46783 - 1.44839  TF = 0.0886335, Ngobs = 98
51  431.098 +/- 2.21707 + 58.3225 - 58.145  TF = 0.011402, Ngobs = 37809
52  120.702 +/- 1.16486 + 16.4765 - 16.4273  TF = 0.0112417, Ngobs = 10737
53  10.599 +/- 0.373101 + 1.54152 - 1.51038  TF = 0.0131338, Ngobs = 807
54  353.599 +/- 2.02626 + 47.6071 - 47.4608  TF = 0.0116113, Ngobs = 30453
55  291.315 +/- 1.8554 + 39.2874 - 39.1671  TF = 0.0118171, Ngobs = 24652
56  22.7931 +/- 0.535752 + 3.25413 - 3.18588  TF = 0.0125929, Ngobs = 1810
57  51.7836 +/- 0.782537 + 7.4965 - 7.4444  TF = 0.0118254, Ngobs = 4379
58  7.15932 +/- 0.296763 + 1.0739 - 1.06695  TF = 0.0123012, Ngobs = 582
59  12.0837 +/- 0.410148 + 2.03323 - 2.00606  TF = 0.0139213, Ngobs = 868
60  1.43065 +/- 0.144517 + 0.275979 - 0.273178  TF = 0.0145985, Ngobs = 98
61  39.4564 +/- 0.202918 + 11.1323 - 11.1245  TF = 0.00104357, Ngobs = 37809
62  11.841 +/- 0.114274 + 3.34779 - 3.34546  TF = 0.00110282, Ngobs = 10737
63  1.0729 +/- 0.0377679 + 0.308082 - 0.306498  TF = 0.00132949, Ngobs = 807
64  32.4734 +/- 0.186086 + 9.15197 - 9.14556  TF = 0.00106634, Ngobs = 30453
65  27.9216 +/- 0.177834 + 7.87216 - 7.86665  TF = 0.00113263, Ngobs = 24652
66  2.30022 +/- 0.0540667 + 0.657412 - 0.653999  TF = 0.00127084, Ngobs = 1810
67  4.92369 +/- 0.0744052 + 1.41215 - 1.40966  TF = 0.00112439, Ngobs = 4379
68  0.709282 +/- 0.0294007 + 0.205326 - 0.204971  TF = 0.0012187, Ngobs = 582
69  1.12034 +/- 0.0380269 + 0.33538 - 0.333971  TF = 0.00129072, Ngobs = 868
70  0.142176 +/- 0.014362 + 0.0446247 - 0.0444541  TF = 0.00145078, Ngobs = 98
71  849.303 +/- 18.6043 + 88.0962 - 86.6731  TF = 0.407535, Ngobs = 2084
72  869.899 +/- 17.5496 + 84.5808 - 83.0241  TF = 0.354049, Ngobs = 2457
73  115.243 +/- 6.77901 + 13.2597 - 13.0858  TF = 0.398765, Ngobs = 289
74  641.628 +/- 16.5723 + 63.1608 - 62.0269  TF = 0.428038, Ngobs = 1499
75  1620.68 +/- 24.3197 + 147.468 - 144.364  TF = 0.364936, Ngobs = 4441
76  254.509 +/- 9.63332 + 25.344 - 24.8995  TF = 0.364626, Ngobs = 698
77  197.126 +/- 8.39787 + 19.6189 - 19.2744  TF = 0.357761, Ngobs = 551
78  67.3702 +/- 4.75193 + 8.13977 - 8.04306  TF = 0.335175, Ngobs = 201
79  42.8668 +/- 4.05053 + 6.44923 - 6.34126  TF = 0.382739, Ngobs = 112
80  16.2064 +/- 2.47145 + 4.2185 - 4.19504  TF = 0.376893, Ngobs = 43
81  252.243 +/- 5.52549 + 35.6031 - 35.2936  TF = 0.121038, Ngobs = 2084
82  260.1 +/- 5.24732 + 35.4887 - 35.1585  TF = 0.105861, Ngobs = 2457
83  34.6306 +/- 2.03709 + 5.18316 - 5.14311  TF = 0.119829, Ngobs = 289
84  190.564 +/- 4.92197 + 26.1655 - 25.9251  TF = 0.127127, Ngobs = 1499
85  484.26 +/- 7.26672 + 63.9556 - 63.3203  TF = 0.109043, Ngobs = 4441
86  76.3528 +/- 2.88999 + 10.5463 - 10.4506  TF = 0.109388, Ngobs = 698
87  58.7831 +/- 2.50424 + 8.11714 - 8.04342  TF = 0.106684, Ngobs = 551
88  20.2043 +/- 1.4251 + 3.11439 - 3.09171  TF = 0.100519, Ngobs = 201
89  12.7529 +/- 1.20503 + 2.27407 - 2.24704  TF = 0.113865, Ngobs = 112
90  4.87975 +/- 0.744155 + 1.35335 - 1.34673  TF = 0.113483, Ngobs = 43
91  66.5005 +/- 1.45672 + 12.2701 - 12.2078  TF = 0.03191, Ngobs = 2084
92  71.5057 +/- 1.44257 + 12.9382 - 12.8699  TF = 0.0291028, Ngobs = 2457
93  9.79567 +/- 0.576216 + 1.87207 - 1.86321  TF = 0.0338951, Ngobs = 289
94  50.2395 +/- 1.29761 + 9.12305 - 9.07523  TF = 0.0335153, Ngobs = 1499
95  132.41 +/- 1.98692 + 23.5245 - 23.3956  TF = 0.0298153, Ngobs = 4441
96  21.3788 +/- 0.809198 + 3.89548 - 3.8752  TF = 0.0306286, Ngobs = 698
97  15.8884 +/- 0.676868 + 2.89458 - 2.87951  TF = 0.0288356, Ngobs = 551
98  5.65236 +/- 0.398687 + 1.10015 - 1.09513  TF = 0.0281212, Ngobs = 201
99  3.39934 +/- 0.321207 + 0.728441 - 0.722456  TF = 0.0303512, Ngobs = 112
100  1.39699 +/- 0.213039 + 0.421513 - 0.41977  TF = 0.0324882, Ngobs = 43
101  8.32317 +/- 0.182322 + 3.08424 - 3.08036  TF = 0.00399385, Ngobs = 2084
102  8.612 +/- 0.173741 + 3.17605 - 3.17203  TF = 0.00350509, Ngobs = 2457
103  1.15243 +/- 0.0677901 + 0.430883 - 0.430351  TF = 0.00398765, Ngobs = 289
104  6.28796 +/- 0.162409 + 2.32098 - 2.31804  TF = 0.00419477, Ngobs = 1499
105  16.0448 +/- 0.240765 + 5.89161 - 5.88407  TF = 0.00361287, Ngobs = 4441
106  2.54509 +/- 0.0963331 + 0.940209 - 0.939021  TF = 0.00364626, Ngobs = 698
107  1.95155 +/- 0.0831389 + 0.720914 - 0.720003  TF = 0.00354184, Ngobs = 551
108  0.673702 +/- 0.0475192 + 0.253112 - 0.252803  TF = 0.00335175, Ngobs = 201
109  0.420095 +/- 0.0396952 + 0.162262 - 0.161853  TF = 0.00375085, Ngobs = 112
110  0.162064 +/- 0.0247145 + 0.071439 - 0.0713007  TF = 0.00376893, Ngobs = 43
111  78.0437 +/- 5.41136 + 9.86728 - 9.62118  TF = 0.37521, Ngobs = 208
112  22.2607 +/- 2.7611 + 4.40707 - 4.36257  TF = 0.342473, Ngobs = 65
113  141.244 +/- 7.39305 + 16.8469 - 16.374  TF = 0.38697, Ngobs = 365
114  47.4293 +/- 4.09727 + 6.31376 - 6.17189  TF = 0.35395, Ngobs = 134
115  13.1659 +/- 2.03155 + 2.86831 - 2.84442  TF = 0.313475, Ngobs = 42
116  11.9408 +/- 1.888 + 2.08173 - 2.05458  TF = 0.298519, Ngobs = 40
117  4.44115 +/- 1.23175 + 0.877474 - 0.868579  TF = 0.341627, Ngobs = 13
118  3.5771 +/- 1.19237 + 0.90307 - 0.91428  TF = 0.397456, Ngobs = 9
119  44.3288 +/- 3.07365 + 10.9853 - 10.9146  TF = 0.213119, Ngobs = 208
120  11.6335 +/- 1.44295 + 3.38413 - 3.36834  TF = 0.178976, Ngobs = 65
121  79.252 +/- 4.14824 + 19.3565 - 19.2283  TF = 0.217129, Ngobs = 365
122  25.147 +/- 2.17237 + 6.31922 - 6.2797  TF = 0.187664, Ngobs = 134
123  7.61649 +/- 1.17525 + 2.32133 - 2.31147  TF = 0.181345, Ngobs = 42
124  6.83251 +/- 1.08031 + 1.88136 - 1.87157  TF = 0.170813, Ngobs = 40
125  2.24678 +/- 0.623143 + 0.652972 - 0.649921  TF = 0.172829, Ngobs = 13
126  1.96669 +/- 0.655564 + 0.649788 - 0.654509  TF = 0.218521, Ngobs = 9
127  13.2284 +/- 0.917225 + 4.37608 - 4.3603  TF = 0.0635981, Ngobs = 208
128  4.90849 +/- 0.608823 + 1.78768 - 1.78237  TF = 0.0755152, Ngobs = 65
129  25.0426 +/- 1.31079 + 8.21746 - 8.18736  TF = 0.0686097, Ngobs = 365
130  10.055 +/- 0.868622 + 3.35256 - 3.34067  TF = 0.0750375, Ngobs = 134
131  2.07627 +/- 0.320375 + 0.779393 - 0.777213  TF = 0.0494349, Ngobs = 42
132  1.96784 +/- 0.311143 + 0.692509 - 0.690304  TF = 0.049196, Ngobs = 40
133  1.06232 +/- 0.294635 + 0.386671 - 0.38552  TF = 0.0817171, Ngobs = 13
134  0.679292 +/- 0.226431 + 0.269316 - 0.270676  TF = 0.0754769, Ngobs = 9
135  4.62019 +/- 0.320352 + 2.62487 - 2.62166  TF = 0.0222124, Ngobs = 208
136  1.05516 +/- 0.130876 + 0.620645 - 0.619938  TF = 0.0162332, Ngobs = 65
137  8.1074 +/- 0.424361 + 4.59349 - 4.58785  TF = 0.0222121, Ngobs = 365
138  2.34301 +/- 0.202405 + 1.33471 - 1.33309  TF = 0.0174851, Ngobs = 134
139  0.814971 +/- 0.125753 + 0.485061 - 0.484521  TF = 0.0194041, Ngobs = 42
140  0.720029 +/- 0.113847 + 0.4181 - 0.417612  TF = 0.0180007, Ngobs = 40
141  0.191413 +/- 0.0530885 + 0.112564 - 0.112436  TF = 0.0147241, Ngobs = 13
142  0.194952 +/- 0.0649841 + 0.118668 - 0.118923  TF = 0.0216614, Ngobs = 9
143  4.20736 +/- 1.26857 + 0.663913 - 0.644269  TF = 0.382487, Ngobs = 11
144  1.74837 +/- 0.781896 + 0.383628 - 0.3778  TF = 0.349675, Ngobs = 5
145  5.03324 +/- 1.39597 + 0.765484 - 0.741073  TF = 0.387172, Ngobs = 13
146  5.66881 +/- 1.4172 + 0.924891 - 0.899318  TF = 0.354301, Ngobs = 16
147  0.322006 +/- 0.322006 + 0.0765591 - 0.0755697  TF = 0.322006, Ngobs = 1
148  1.7548 +/- 0.716393 + 0.347567 - 0.341076  TF = 0.292466, Ngobs = 6
149  0.350615 +/- 0.350615 + 0.0769251 - 0.0757562  TF = 0.350615, Ngobs = 0
150  0.405061 +/- 0.405061 + 0.109259 - 0.109954  TF = 0.405061, Ngobs = 1
151  1.73133 +/- 0.522015 + 1.2321 - 1.23033  TF = 0.157393, Ngobs = 11
152  0.719455 +/- 0.32175 + 0.523618 - 0.5229  TF = 0.143891, Ngobs = 5
153  2.07118 +/- 0.574441 + 1.47137 - 1.46926  TF = 0.159321, Ngobs = 13
154  2.33272 +/- 0.583179 + 1.66289 - 1.66051  TF = 0.145795, Ngobs = 16
155  0.132506 +/- 0.132506 + 0.0971974 - 0.0970662  TF = 0.132506, Ngobs = 1
156  0.722099 +/- 0.294796 + 0.521101 - 0.520374  TF = 0.12035, Ngobs = 6
157  0.144278 +/- 0.144278 + 0.105005 - 0.104861  TF = 0.144278, Ngobs = 0
158  0.166682 +/- 0.166682 + 0.124097 - 0.124201  TF = 0.166682, Ngobs = 1
159  0.55495 +/- 0.167324 + 0.602816 - 0.602445  TF = 0.05045, Ngobs = 11
160  0.23061 +/- 0.103132 + 0.252956 - 0.252804  TF = 0.0461221, Ngobs = 5
161  0.663884 +/- 0.184128 + 0.720604 - 0.72016  TF = 0.051068, Ngobs = 13
162  0.747716 +/- 0.186929 + 0.812799 - 0.8123  TF = 0.0467323, Ngobs = 16
163  0.0424726 +/- 0.0424726 + 0.0467502 - 0.0467222  TF = 0.0424726, Ngobs = 1
164  0.231458 +/- 0.0944922 + 0.252944 - 0.25279  TF = 0.0385763, Ngobs = 6
165  0.0462462 +/- 0.0462462 + 0.0507272 - 0.0506966  TF = 0.0462462, Ngobs = 0
166  0.0534275 +/- 0.0534275 + 0.0592009 - 0.0592233  TF = 0.0534275, Ngobs = 1
167  0.521291 +/- 0.157175 + 0.573407 - 0.573063  TF = 0.0473901, Ngobs = 11
168  0.216623 +/- 0.0968769 + 0.240558 - 0.240416  TF = 0.0433247, Ngobs = 5
169  0.623618 +/- 0.172961 + 0.685462 - 0.68505  TF = 0.0479706, Ngobs = 13
170  0.702366 +/- 0.175591 + 0.773133 - 0.772669  TF = 0.0438979, Ngobs = 16
171  0.0398966 +/- 0.0398966 + 0.0444551 - 0.0444291  TF = 0.0398966, Ngobs = 1
172  0.217419 +/- 0.0887611 + 0.240568 - 0.240425  TF = 0.0362366, Ngobs = 6
173  0.0434412 +/- 0.0434412 + 0.0482409 - 0.0482125  TF = 0.0434412, Ngobs = 0
174  0.050187 +/- 0.050187 + 0.0562855 - 0.0563063  TF = 0.050187, Ngobs = 1
