DR | DR cv error | DR shape up | DR shape down | 0b purity | purity error | trig eff | trig eff error | lepton SF | lepton SF error | btag SF | btag SF error |
1.0076 | 0.0134 | 0.014 | 0.0044 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0225 | 0.013 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0831 | 0.0607 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0194 | 0.0071 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0225 | 0.013 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0831 | 0.0607 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0438 | 0.0277 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0438 | 0.0277 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0831 | 0.0607 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0726 | 0.0477 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0401 | 0.0341 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0401 | 0.0341 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0831 | 0.0607 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0401 | 0.0341 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0401 | 0.0341 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0831 | 0.0607 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0438 | 0.0341 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0438 | 0.0341 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0831 | 0.0607 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0726 | 0.0477 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0884 | 0.0799 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0884 | 0.0799 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0884 | 0.0799 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0884 | 0.0799 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0884 | 0.0799 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0884 | 0.0799 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0884 | 0.0799 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0076 | 0.0134 | 0.0884 | 0.0799 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
