
1  22913.2 +/- 94.8001 + 1300.83 - 1264.68  TF = 0.392222, Ngobs = 58419
2  1249.72 +/- 21.7055 + 74.8971 - 71.2943  TF = 0.376988, Ngobs = 3315
3  76.4057 +/- 5.44368 + 7.98887 - 6.70952  TF = 0.387846, Ngobs = 197
4  19526.4 +/- 87.8286 + 1139.23 - 1083.31  TF = 0.395048, Ngobs = 49428
5  3633.44 +/- 37.4721 + 215.981 - 205.415  TF = 0.386454, Ngobs = 9402
6  161.815 +/- 8.07058 + 16.4841 - 13.6889  TF = 0.402524, Ngobs = 402
7  1532.73 +/- 24.9562 + 109.373 - 96.2185  TF = 0.406344, Ngobs = 3772
8  63.6157 +/- 5.33851 + 5.1079 - 4.62947  TF = 0.447998, Ngobs = 142
9  257.297 +/- 10.5216 + 26.2658 - 21.8322  TF = 0.430262, Ngobs = 598
10  13.9986 +/- 2.69404 + 1.76467 - 1.58967  TF = 0.518468, Ngobs = 27
11  2621.27 +/- 10.8451 + 249.74 - 247.299  TF = 0.0448702, Ngobs = 58419
12  155.465 +/- 2.70016 + 15.1097 - 14.8375  TF = 0.0468973, Ngobs = 3315
13  9.4361 +/- 0.672295 + 1.22257 - 1.09904  TF = 0.047899, Ngobs = 197
14  2229.92 +/- 10.03 + 214.56 - 210.749  TF = 0.0451144, Ngobs = 49428
15  449.456 +/- 4.6353 + 43.5477 - 42.7583  TF = 0.0478043, Ngobs = 9402
16  20.3077 +/- 1.01286 + 2.58729 - 2.31639  TF = 0.0505168, Ngobs = 402
17  178.716 +/- 2.9099 + 18.698 - 17.6875  TF = 0.0473797, Ngobs = 3772
18  7.83109 +/- 0.65717 + 0.868551 - 0.826913  TF = 0.0551485, Ngobs = 142
19  30.3353 +/- 1.2405 + 3.87001 - 3.46594  TF = 0.0507279, Ngobs = 598
20  1.71343 +/- 0.32975 + 0.252668 - 0.234621  TF = 0.0634604, Ngobs = 27
21  192.471 +/- 0.796321 + 30.118 - 30.0092  TF = 0.00329466, Ngobs = 58419
22  13.9968 +/- 0.243101 + 2.20666 - 2.19164  TF = 0.00422226, Ngobs = 3315
23  0.832822 +/- 0.0593361 + 0.149435 - 0.141762  TF = 0.00422752, Ngobs = 197
24  162.069 +/- 0.728977 + 25.4542 - 25.2855  TF = 0.0032789, Ngobs = 49428
25  39.9678 +/- 0.412193 + 6.29372 - 6.25077  TF = 0.00425099, Ngobs = 9402
26  1.86087 +/- 0.0928117 + 0.331009 - 0.313708  TF = 0.00462903, Ngobs = 402
27  13.7946 +/- 0.224606 + 2.23945 - 2.18999  TF = 0.00365709, Ngobs = 3772
28  0.687049 +/- 0.0576559 + 0.114369 - 0.111968  TF = 0.00483837, Ngobs = 142
29  2.39286 +/- 0.0978512 + 0.425931 - 0.4037  TF = 0.00400143, Ngobs = 598
30  0.148385 +/- 0.0285568 + 0.028602 - 0.0274248  TF = 0.00549576, Ngobs = 27
31  3484.55 +/- 36.2758 + 244.316 - 232.99  TF = 0.377647, Ngobs = 9227
32  965.636 +/- 18.6286 + 69.8381 - 66.7999  TF = 0.359373, Ngobs = 2687
33  74.9555 +/- 5.43784 + 7.81014 - 6.54989  TF = 0.394502, Ngobs = 190
34  2958.69 +/- 34.1458 + 203.239 - 193.414  TF = 0.394071, Ngobs = 7508
35  2291.26 +/- 29.5162 + 158.675 - 151.131  TF = 0.380229, Ngobs = 6026
36  169.154 +/- 8.19556 + 17.2836 - 14.3721  TF = 0.397076, Ngobs = 426
37  434.1 +/- 13.4094 + 31.2121 - 28.841  TF = 0.414218, Ngobs = 1048
38  63.0275 +/- 5.30787 + 5.00857 - 4.69937  TF = 0.447004, Ngobs = 141
39  84.6337 +/- 6.01466 + 8.82974 - 7.4089  TF = 0.427443, Ngobs = 198
40  14.9204 +/- 2.87144 + 1.94083 - 1.76067  TF = 0.552608, Ngobs = 27
41  644.642 +/- 6.71101 + 72.0994 - 70.8047  TF = 0.0698647, Ngobs = 9227
42  188.396 +/- 3.63444 + 21.3343 - 20.9607  TF = 0.0701138, Ngobs = 2687
43  14.9611 +/- 1.08539 + 2.03219 - 1.84629  TF = 0.0787427, Ngobs = 190
44  546.174 +/- 6.30331 + 60.6025 - 59.4967  TF = 0.0727456, Ngobs = 7508
45  442.672 +/- 5.70253 + 49.272 - 48.3786  TF = 0.0734603, Ngobs = 6026
46  33.4587 +/- 1.62108 + 4.49309 - 4.07209  TF = 0.0785416, Ngobs = 426
47  82.3488 +/- 2.54376 + 9.30317 - 9.02357  TF = 0.0785771, Ngobs = 1048
48  12.5299 +/- 1.05521 + 1.47768 - 1.43697  TF = 0.0888643, Ngobs = 141
49  15.7334 +/- 1.11812 + 2.13868 - 1.94335  TF = 0.0794617, Ngobs = 198
50  2.93335 +/- 0.564524 + 0.45927 - 0.430296  TF = 0.108643, Ngobs = 27
51  111.506 +/- 1.16082 + 18.6616 - 18.5127  TF = 0.0120847, Ngobs = 9227
52  32.3488 +/- 0.624057 + 5.44423 - 5.40127  TF = 0.012039, Ngobs = 2687
53  2.56348 +/- 0.185974 + 0.472337 - 0.449372  TF = 0.013492, Ngobs = 190
54  94.678 +/- 1.09267 + 15.7894 - 15.6625  TF = 0.0126103, Ngobs = 7508
55  76.299 +/- 0.982889 + 12.742 - 12.6399  TF = 0.0126616, Ngobs = 6026
56  5.75125 +/- 0.278649 + 1.05318 - 1.00132  TF = 0.0135006, Ngobs = 426
57  14.1951 +/- 0.438487 + 2.38643 - 2.35431  TF = 0.0135449, Ngobs = 1048
58  2.14924 +/- 0.180998 + 0.36857 - 0.363804  TF = 0.0152428, Ngobs = 141
59  2.72521 +/- 0.193672 + 0.50234 - 0.477936  TF = 0.0137637, Ngobs = 198
60  0.50431 +/- 0.0970545 + 0.10088 - 0.0970301  TF = 0.0186781, Ngobs = 27
61  9.40829 +/- 0.0979445 + 4.0925 - 4.08769  TF = 0.00101965, Ngobs = 9227
62  2.60722 +/- 0.0502972 + 1.13505 - 1.13372  TF = 0.000970308, Ngobs = 2687
63  0.20238 +/- 0.0146822 + 0.0894044 - 0.0886635  TF = 0.00106516, Ngobs = 190
64  7.98846 +/- 0.0921936 + 3.47308 - 3.46899  TF = 0.00106399, Ngobs = 7508
65  6.18641 +/- 0.0796937 + 2.69017 - 2.687  TF = 0.00102662, Ngobs = 6026
66  0.456717 +/- 0.022128 + 0.201546 - 0.199872  TF = 0.00107211, Ngobs = 426
67  1.17207 +/- 0.0362054 + 0.51018 - 0.509162  TF = 0.00111839, Ngobs = 1048
68  0.170174 +/- 0.0143313 + 0.0742971 - 0.0741497  TF = 0.00120691, Ngobs = 141
69  0.228511 +/- 0.0162396 + 0.100955 - 0.100119  TF = 0.0011541, Ngobs = 198
70  0.0402851 +/- 0.00775288 + 0.0180709 - 0.0179359  TF = 0.00149204, Ngobs = 27
71  179.901 +/- 8.24574 + 21.2614 - 20.1432  TF = 0.377943, Ngobs = 476
72  224.178 +/- 9.09912 + 25.4918 - 24.0404  TF = 0.369322, Ngobs = 607
73  30.8046 +/- 3.58096 + 3.75639 - 3.57113  TF = 0.416279, Ngobs = 74
74  143.083 +/- 7.80582 + 16.2829 - 15.3573  TF = 0.425843, Ngobs = 336
