 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 0 0 0| |   3173|   2398| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 1| |    166|    138| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 2| |     14|      4| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 3| |   2972|   2157| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 4| |    580|    401| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 5| |     26|     24| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 6| |    216|    162| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 7| |     10|      5| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 8| |     29|     29| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 9| |      2|      1| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 1 0| |    321|    228| 0.0966| 0.0296| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 1| |     16|     17| 0.1104| 0.0296| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 2| |      0|      0| 0.1131| 0.0296| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 3| |    285|    224| 0.0961| 0.0296| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 4| |     66|     44| 0.1087| 0.0296| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 5| |      2|      3| 0.1094| 0.0296| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 6| |     13|     24| 0.0999| 0.0296| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 7| |      1|      0| 0.1101| 0.0296| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 8| |      5|      3| 0.1002| 0.0296| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 9| |      0|      0| 0.1098| 0.0296| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 2 0| |     31|     26| 0.0089| 0.0917| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 1| |      3|      0| 0.0119| 0.0917| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 2| |      0|      0| 0.0125| 0.0917| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 3| |     22|     23| 0.0088| 0.0917| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 4| |      6|      7| 0.0116| 0.0917| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 5| |      0|      0| 0.0117| 0.0917| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 6| |      2|      0| 0.0096| 0.0917| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 7| |      0|      0| 0.0119| 0.0917| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 8| |      0|      0| 0.0097| 0.0917| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 9| |      0|      0| 0.0118| 0.0917| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 1 0 0| |    503|    372| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 1| |    166|    113| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 2| |      6|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 3| |    428|    374| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 4| |    360|    279| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 5| |     28|     19| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 6| |     69|     56| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 7| |      8|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 8| |     14|     10| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 9| |      1|      1| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 1 0| |    107|     60| 0.1899| 0.0463| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 1| |     32|     19| 0.1949| 0.0463| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 2| |      3|      2| 0.1969| 0.0463| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 3| |     83|     65| 0.1899| 0.0463| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 4| |     81|     65| 0.1941| 0.0463| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 5| |     10|      5| 0.1972| 0.0463| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
