 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 0 0 0| |  10148|   7828| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 1| |    600|    459| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 2| |     43|     22| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 3| |   9401|   7188| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 4| |   1910|   1412| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 5| |     74|     55| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 6| |    714|    620| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 7| |     30|     24| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 8| |     97|     89| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 9| |      5|      6| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 1 0| |   1077|    765| 0.0988| 0.0163| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 1| |     73|     62| 0.1112| 0.0163| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 2| |      4|      3| 0.1119| 0.0163| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 3| |    904|    725| 0.0985| 0.0163| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 4| |    218|    176| 0.1099| 0.0163| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 5| |      6|      6| 0.1120| 0.0163| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 6| |     48|     70| 0.1016| 0.0163| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 7| |      2|      2| 0.1102| 0.0163| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 8| |     13|      8| 0.1023| 0.0163| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 9| |      0|      1| 0.1095| 0.0163| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 2 0| |     95|     73| 0.0091| 0.0502| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 1| |     16|      0| 0.0122| 0.0502| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 2| |      1|      0| 0.0124| 0.0502| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 3| |     84|     75| 0.0090| 0.0502| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 4| |     27|     19| 0.0119| 0.0502| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 5| |      1|      0| 0.0124| 0.0502| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 6| |      3|      3| 0.0098| 0.0502| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 7| |      0|      0| 0.0120| 0.0502| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 8| |      2|      1| 0.0100| 0.0502| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 0 2 9| |      0|      0| 0.0118| 0.0502| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0229
 1 0 0| |   1660|   1277| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 1| |    479|    365| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 2| |     37|     25| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 3| |   1410|   1183| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 4| |   1193|    933| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 5| |     98|     72| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 6| |    211|    207| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 7| |     29|     24| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 8| |     42|     29| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 9| |      2|      5| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 1 0| |    346|    210| 0.1852| 0.0257| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 1| |    100|     72| 0.1935| 0.0257| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 2| |      6|      6| 0.1974| 0.0257| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 3| |    270|    214| 0.1849| 0.0257| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 4| |    245|    191| 0.1922| 0.0257| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 5| |     23|     24| 0.1976| 0.0257| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 6| |     35|     37| 0.1891| 0.0257| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 7| |      3|     12| 0.1960| 0.0257| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 8| |      7|      3| 0.1881| 0.0257| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 9| |      0|      0| 0.1955| 0.0257| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 2 0| |     53|     41| 0.0295| 0.0574| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 1| |     17|     14| 0.0316| 0.0574| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 2| |      1|      1| 0.0326| 0.0574| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 3| |     49|     41| 0.0294| 0.0574| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 4| |     48|     34| 0.0313| 0.0574| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 5| |      3|      4| 0.0327| 0.0574| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 6| |      2|      3| 0.0305| 0.0574| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 7| |      0|      1| 0.0323| 0.0574| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 8| |      2|      0| 0.0302| 0.0574| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 2 9| |      0|      0| 0.0322| 0.0574| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0336
 1 3 0| |      6|      2| 0.0027| 0.1860| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 1| |      2|      0| 0.0031| 0.1860| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
 1 3 2| |      0|      0| 0.0033| 0.1860| 0.0000| 0.0000| 0.0000| 0.0000| 0.2000| 0.0336
