DR | DR cv error | DR shape up | DR shape down | 0b purity | purity error | trig eff | trig eff error | lepton SF | lepton SF error | btag SF | btag SF error |
1.0016 | 0.0069 | 0.0144 | 0.0129 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0144 | 0.0129 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0497 | 0.0403 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.011 | 0.0063 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.013 | 0.0093 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0497 | 0.0403 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0593 | 0.0568 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0593 | 0.0568 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0983 | 0.0944 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0983 | 0.0944 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0288 | 0.0268 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0288 | 0.0268 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0497 | 0.0403 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0288 | 0.0268 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0288 | 0.0268 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0497 | 0.0403 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0593 | 0.0568 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0593 | 0.0568 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0983 | 0.0944 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0983 | 0.0944 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0652 | 0.0625 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0652 | 0.0625 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0652 | 0.0625 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0652 | 0.0625 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0652 | 0.0625 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
1.0016 | 0.0069 | 0.0652 | 0.0625 | 0.9968 | 0.0112 | 0.984 | 0.0061 | 0.95 | 0.05 | 1.0 | 0.005 | 
