DR | DR cv error | DR shape up | DR shape down | 0b purity | purity error | trig eff | trig eff error | lepton SF | lepton SF error | btag SF | btag SF error |
 1.0016 | 0.0069 | 0.0128 | 0.0110 | 1.0016 | 0.0109 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0132 | 0.0110 | 1.0016 | 0.0109 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0500 | 0.0415 | 1.0016 | 0.0109 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0107 | 0.0064 | 1.0016 | 0.0109 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0132 | 0.0095 | 1.0016 | 0.0109 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0500 | 0.0415 | 1.0016 | 0.0109 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0531 | 0.0503 | 1.0016 | 0.0109 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0531 | 0.0503 | 1.0016 | 0.0109 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0879 | 0.0835 | 1.0016 | 0.0109 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0879 | 0.0835 | 1.0016 | 0.0109 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0291 | 0.0270 | 0.9968 | 0.0112 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0291 | 0.0270 | 0.9968 | 0.0112 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0500 | 0.0415 | 0.9968 | 0.0112 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0291 | 0.0270 | 0.9968 | 0.0112 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0291 | 0.0270 | 0.9968 | 0.0112 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0500 | 0.0415 | 0.9968 | 0.0112 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0531 | 0.0503 | 0.9968 | 0.0112 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0531 | 0.0503 | 0.9968 | 0.0112 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0879 | 0.0835 | 0.9968 | 0.0112 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0879 | 0.0835 | 0.9968 | 0.0112 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0658 | 0.0631 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0658 | 0.0631 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0658 | 0.0631 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0658 | 0.0631 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0658 | 0.0631 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0658 | 0.0631 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0658 | 0.0631 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0658 | 0.0631 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0879 | 0.0835 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.0879 | 0.0835 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1038 | 0.0999 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1038 | 0.0999 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1038 | 0.0999 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1038 | 0.0999 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1038 | 0.0999 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1038 | 0.0999 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1038 | 0.0999 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1038 | 0.0999 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1409 | 0.1356 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1409 | 0.1356 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1409 | 0.1356 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1409 | 0.1356 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1409 | 0.1356 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1409 | 0.1356 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1409 | 0.1356 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |
 1.0016 | 0.0069 | 0.1409 | 0.1356 | 0.9931 | 0.0136 | 1.0000 | 0.0000 | 0.9650 | 0.0213 | 1.0000 | 0.0050 |

