 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 0 0 0| |   2553|   1964| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 1| |    151|    108| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 2| |      8|      3| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 3| |   2301|   1859| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 4| |    449|    394| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 5| |     13|     11| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 6| |    174|    175| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 7| |      6|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 8| |     27|     28| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 9| |      3|      1| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 1 0| |    296|    224| 0.1144| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 1| |     23|     26| 0.1243| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 2| |      3|      2| 0.1234| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 3| |    236|    222| 0.1142| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 4| |     70|     58| 0.1237| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 5| |      2|      3| 0.1254| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 6| |     14|     20| 0.1165| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 7| |      0|      1| 0.1230| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 8| |      6|      2| 0.1178| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 1 9| |      0|      0| 0.1223| 0.0304| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0122
 0 2 0| |     16|     20| 0.0084| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0229
 0 2 1| |      7|      0| 0.0112| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0229
 0 2 2| |      0|      0| 0.0109| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0229
 0 2 3| |     21|     18| 0.0083| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0229
 0 2 4| |      4|      4| 0.0110| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0229
 0 2 5| |      1|      0| 0.0115| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0229
 0 2 6| |      0|      1| 0.0090| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0229
 0 2 7| |      0|      0| 0.0108| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0229
 0 2 8| |      1|      0| 0.0093| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0229
 0 2 9| |      0|      0| 0.0106| 0.1042| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0229
 1 0 0| |    390|    328| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 1| |    111|     90| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 2| |     13|      4| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 3| |    379|    309| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 4| |    301|    255| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 5| |     22|     16| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 6| |     50|     46| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 7| |      5|      6| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 8| |     10|      9| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 9| |      1|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 1 0| |     93|     51| 0.1850| 0.0511| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 1| |     24|     13| 0.1951| 0.0511| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 2| |      1|      3| 0.1996| 0.0511| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 3| |     64|     54| 0.1846| 0.0511| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 4| |     67|     46| 0.1932| 0.0511| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 5| |      4|     10| 0.1978| 0.0511| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 6| |      9|     10| 0.1897| 0.0511| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 7| |      2|      3| 0.1988| 0.0511| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 8| |      3|      1| 0.1859| 0.0511| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 1 9| |      0|      0| 0.1966| 0.0511| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0144
 1 2 0| |     13|     16| 0.0320| 0.1098| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0341
 1 2 1| |      6|      3| 0.0336| 0.1098| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0341
 1 2 2| |      0|      0| 0.0342| 0.1098| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0341
 1 2 3| |     12|      6| 0.0320| 0.1098| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0341
 1 2 4| |     11|     11| 0.0333| 0.1098| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0341
 1 2 5| |      3|      3| 0.0340| 0.1098| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0341
 1 2 6| |      0|      1| 0.0327| 0.1098| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0341
 1 2 7| |      0|      1| 0.0341| 0.1098| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0341
 1 2 8| |      0|      0| 0.0322| 0.1098| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0341
 1 2 9| |      0|      0| 0.0338| 0.1098| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0341
 1 3 0| |      1|      0| 0.0027| 0.3785| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0341
 1 3 1| |      0|      0| 0.0027| 0.3785| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0341
 1 3 2| |      0|      0| 0.0027| 0.3785| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0341
 1 3 3| |      1|      0| 0.0027| 0.3785| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0341
 1 3 4| |      1|      2| 0.0027| 0.3785| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0341
 1 3 5| |      1|      0| 0.0027| 0.3785| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0341
 1 3 6| |      1|      0| 0.0027| 0.3785| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0341
 1 3 7| |      0|      0| 0.0027| 0.3785| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0341
 1 3 8| |      0|      0| 0.0027| 0.3785| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0341
 1 3 9| |      0|      0| 0.0027| 0.3785| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0341
 2 0 0| |     12|     27| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 1| |     29|     16| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 2| |      2|      3| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 3| |     19|     12| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 4| |     63|     44| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 5| |      6|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 6| |      3|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 7| |      5|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 8| |      2|      3| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 0 9| |      0|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0141
 2 1 0| |     10|      3| 0.3424| 0.1202| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 1| |     13|     10| 0.3457| 0.1202| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 2| |      1|      1| 0.3469| 0.1202| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 3| |      7|      0| 0.3437| 0.1202| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 4| |     16|     16| 0.3451| 0.1202| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 5| |      3|      4| 0.3455| 0.1202| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 6| |      5|      1| 0.3444| 0.1202| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 7| |      0|      3| 0.3484| 0.1202| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 8| |      0|      1| 0.3419| 0.1202| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 1 9| |      0|      0| 0.3451| 0.1202| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0247
 2 2 0| |      1|      2| 0.0922| 0.1957| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 2 2 1| |      1|      5| 0.1008| 0.1957| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 2 2 2| |      0|      1| 0.1040| 0.1957| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 2 2 3| |      1|      0| 0.0956| 0.1957| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
