
1  28740.6 +/- 108.751 + 1597.88 - 1587.26  TF = 0.411502, Ngobs = 69843
2  1540.27 +/- 24.9243 + 86.4421 - 85.8784  TF = 0.403318, Ngobs = 3819
3  114.872 +/- 7.26516 + 9.35636 - 8.73945  TF = 0.459489, Ngobs = 250
4  25628.3 +/- 104.324 + 1406.34 - 1387.23  TF = 0.424668, Ngobs = 60349
5  4577.88 +/- 43.3635 + 253.369 - 249.933  TF = 0.410756, Ngobs = 11145
6  227.6 +/- 9.71371 + 17.5154 - 16.2162  TF = 0.414571, Ngobs = 549
7  1992 +/- 29.2184 + 160.608 - 156.981  TF = 0.428571, Ngobs = 4648
8  82.451 +/- 5.80124 + 7.5135 - 7.38102  TF = 0.408174, Ngobs = 202
9  375.425 +/- 14.2407 + 42.9283 - 41.6763  TF = 0.54018, Ngobs = 695
10  27.0678 +/- 4.03503 + 4.23661 - 4.17112  TF = 0.601507, Ngobs = 45
11  2776.34 +/- 10.5054 + 261.878 - 261.274  TF = 0.0397511, Ngobs = 69843
12  170.046 +/- 2.75164 + 16.0923 - 16.0555  TF = 0.0445264, Ngobs = 3819
13  12.9921 +/- 0.82169 + 1.44908 - 1.39894  TF = 0.0519682, Ngobs = 250
14  2462.88 +/- 10.0256 + 231.267 - 230.198  TF = 0.0408106, Ngobs = 60349
15  497.615 +/- 4.71361 + 46.8642 - 46.6457  TF = 0.0446492, Ngobs = 11145
16  24.8994 +/- 1.06268 + 2.69657 - 2.5975  TF = 0.0453541, Ngobs = 549
17  199.001 +/- 2.91891 + 22.0763 - 21.8145  TF = 0.0428143, Ngobs = 4648
18  9.07786 +/- 0.638716 + 1.07833 - 1.06718  TF = 0.0449399, Ngobs = 202
19  37.6176 +/- 1.42692 + 5.16899 - 5.06507  TF = 0.054126, Ngobs = 695
20  2.97205 +/- 0.443046 + 0.517376 - 0.510921  TF = 0.0660455, Ngobs = 45
21  255.791 +/- 0.967885 + 37.8583 - 37.8229  TF = 0.00366237, Ngobs = 69843
22  18.3293 +/- 0.296599 + 2.71645 - 2.71391  TF = 0.00479949, Ngobs = 3819
23  1.4359 +/- 0.0908145 + 0.229064 - 0.225225  TF = 0.00574361, Ngobs = 250
24  225.529 +/- 0.918053 + 33.3186 - 33.2565  TF = 0.00373708, Ngobs = 60349
25  53.1034 +/- 0.503016 + 7.85458 - 7.83976  TF = 0.00476477, Ngobs = 11145
26  2.66291 +/- 0.11365 + 0.418823 - 0.411598  TF = 0.00485048, Ngobs = 549
27  19.1232 +/- 0.280496 + 3.04264 - 3.02514  TF = 0.00411428, Ngobs = 4648
28  0.981167 +/- 0.0690347 + 0.161576 - 0.160709  TF = 0.00485726, Ngobs = 202
29  3.64162 +/- 0.138135 + 0.650307 - 0.642599  TF = 0.00523974, Ngobs = 695
30  0.3194 +/- 0.0476134 + 0.0664724 - 0.0658932  TF = 0.00709778, Ngobs = 45
31  4612.83 +/- 43.0767 + 291.377 - 287.288  TF = 0.40227, Ngobs = 11467
32  1209.62 +/- 20.9397 + 79.5378 - 78.5082  TF = 0.362487, Ngobs = 3337
33  108.157 +/- 6.68194 + 8.88916 - 8.31389  TF = 0.412811, Ngobs = 262
34  3832.73 +/- 39.4018 + 236.862 - 233.388  TF = 0.405065, Ngobs = 9462
35  2924.32 +/- 33.4039 + 182.224 - 179.595  TF = 0.381566, Ngobs = 7664
36  206.441 +/- 8.88381 + 16.0977 - 14.9359  TF = 0.382298, Ngobs = 540
37  508.046 +/- 13.9151 + 41.4151 - 40.5005  TF = 0.38113, Ngobs = 1333
38  64.2411 +/- 4.78825 + 5.84331 - 5.7399  TF = 0.356895, Ngobs = 180
39  123.894 +/- 7.6836 + 14.5865 - 14.1856  TF = 0.476516, Ngobs = 260
40  12.1167 +/- 2.25002 + 1.85907 - 1.82916  TF = 0.417819, Ngobs = 29
41  875.975 +/- 8.18026 + 92.3547 - 91.8916  TF = 0.076391, Ngobs = 11467
42  235.755 +/- 4.08115 + 25.226 - 25.1032  TF = 0.0706487, Ngobs = 3337
43  21.296 +/- 1.31567 + 2.509 - 2.43134  TF = 0.0812826, Ngobs = 262
44  727.835 +/- 7.48241 + 76.1443 - 75.7565  TF = 0.0769219, Ngobs = 9462
45  567.611 +/- 6.4837 + 59.5546 - 59.2531  TF = 0.074062, Ngobs = 7664
46  40.7102 +/- 1.75189 + 4.67832 - 4.52599  TF = 0.0753892, Ngobs = 540
47  97.7988 +/- 2.67867 + 11.4766 - 11.355  TF = 0.0733674, Ngobs = 1333
48  12.6491 +/- 0.942806 + 1.56967 - 1.5548  TF = 0.0702726, Ngobs = 180
49  23.9116 +/- 1.48293 + 3.46403 - 3.40144  TF = 0.0919677, Ngobs = 260
50  2.36034 +/- 0.438304 + 0.413339 - 0.408243  TF = 0.0813911, Ngobs = 29
51  132.388 +/- 1.2363 + 21.3974 - 21.3518  TF = 0.0115451, Ngobs = 11467
52  37.0143 +/- 0.640755 + 6.02056 - 6.00789  TF = 0.0110921, Ngobs = 3337
53  3.3853 +/- 0.209145 + 0.57538 - 0.566892  TF = 0.012921, Ngobs = 262
54  109.999 +/- 1.13083 + 17.7205 - 17.6825  TF = 0.0116254, Ngobs = 9462
55  88.6069 +/- 1.01214 + 14.2918 - 14.2612  TF = 0.0115614, Ngobs = 7664
56  6.48225 +/- 0.278952 + 1.08881 - 1.07236  TF = 0.0120042, Ngobs = 540
57  15.089 +/- 0.41328 + 2.55971 - 2.54677  TF = 0.0113195, Ngobs = 1333
58  2.01075 +/- 0.149872 + 0.350623 - 0.348945  TF = 0.0111708, Ngobs = 180
59  3.70444 +/- 0.22974 + 0.70281 - 0.695434  TF = 0.0142478, Ngobs = 260
60  0.369561 +/- 0.0686257 + 0.0789803 - 0.0783278  TF = 0.0127435, Ngobs = 29
61  16.6062 +/- 0.155076 + 5.95762 - 5.95505  TF = 0.00144817, Ngobs = 11467
62  5.20136 +/- 0.0900407 + 1.86845 - 1.86765  TF = 0.00155869, Ngobs = 3337
63  0.49752 +/- 0.0307369 + 0.180397 - 0.179816  TF = 0.00189893, Ngobs = 262
64  13.7978 +/- 0.141847 + 4.94681 - 4.94467  TF = 0.00145824, Ngobs = 9462
65  12.2821 +/- 0.140296 + 4.4045 - 4.4026  TF = 0.00160258, Ngobs = 7664
66  0.949629 +/- 0.0408655 + 0.343444 - 0.342331  TF = 0.00175857, Ngobs = 540
67  2.03218 +/- 0.0556606 + 0.736547 - 0.735732  TF = 0.00152452, Ngobs = 1333
68  0.295509 +/- 0.0220259 + 0.107766 - 0.107649  TF = 0.00164172, Ngobs = 180
69  0.495577 +/- 0.0307344 + 0.184485 - 0.183984  TF = 0.00190607, Ngobs = 260
70  0.052102 +/- 0.00967509 + 0.0200616 - 0.0200107  TF = 0.00179662, Ngobs = 29
71  287.791 +/- 11.1601 + 29.484 - 28.9956  TF = 0.432769, Ngobs = 665
72  268.682 +/- 9.78483 + 26.0432 - 25.5609  TF = 0.356342, Ngobs = 754
73  36.9568 +/- 3.85301 + 4.23767 - 4.18174  TF = 0.401704, Ngobs = 92
74  201.115 +/- 9.40774 + 19.5328 - 19.1725  TF = 0.440075, Ngobs = 457
75  516.67 +/- 13.6582 + 46.9634 - 45.973  TF = 0.361055, Ngobs = 1431
76  70.9287 +/- 5.02801 + 7.05393 - 6.92988  TF = 0.356426, Ngobs = 199
77  55.6514 +/- 4.33246 + 5.56226 - 5.46542  TF = 0.337281, Ngobs = 165
78  21.2051 +/- 2.5715 + 2.59776 - 2.56775  TF = 0.31184, Ngobs = 68
79  10.6222 +/- 1.97249 + 1.59156 - 1.5647  TF = 0.366282, Ngobs = 29
80  5.63902 +/- 1.40976 + 1.50838 - 1.50043  TF = 0.352439, Ngobs = 16
81  97.849 +/- 3.79442 + 16.1529 - 16.0503  TF = 0.147141, Ngobs = 665
82  91.0295 +/- 3.3151 + 14.7205 - 14.6232  TF = 0.120729, Ngobs = 754
83  12.4766 +/- 1.30078 + 2.15753 - 2.14506  TF = 0.135615, Ngobs = 92
84  68.4594 +/- 3.20239 + 11.0786 - 11.0055  TF = 0.149802, Ngobs = 457
85  175.1 +/- 4.62877 + 27.6954 - 27.5038  TF = 0.122362, Ngobs = 1431
86  23.9668 +/- 1.69896 + 3.91224 - 3.88684  TF = 0.120436, Ngobs = 199
87  18.8547 +/- 1.46784 + 3.08348 - 3.06354  TF = 0.114271, Ngobs = 165
88  7.17157 +/- 0.86968 + 1.27813 - 1.27118  TF = 0.105464, Ngobs = 68
89  3.61048 +/- 0.670449 + 0.714889 - 0.708004  TF = 0.124499, Ngobs = 29
90  1.89528 +/- 0.473819 + 0.563205 - 0.560804  TF = 0.118455, Ngobs = 16
91  21.6707 +/- 0.840353 + 5.3745 - 5.35942  TF = 0.0325875, Ngobs = 665
92  20.2049 +/- 0.735819 + 4.96594 - 4.95175  TF = 0.0267969, Ngobs = 754
93  2.77545 +/- 0.289361 + 0.703019 - 0.701128  TF = 0.030168, Ngobs = 92
94  15.1439 +/- 0.708403 + 3.72322 - 3.71258  TF = 0.0331377, Ngobs = 457
95  38.8536 +/- 1.0271 + 9.45942 - 9.43187  TF = 0.0271514, Ngobs = 1431
96  5.32675 +/- 0.377603 + 1.31456 - 1.31083  TF = 0.0267676, Ngobs = 199
97  4.18499 +/- 0.325801 + 1.03363 - 1.0307  TF = 0.0253636, Ngobs = 165
98  1.59462 +/- 0.193377 + 0.409728 - 0.408657  TF = 0.0234504, Ngobs = 68
