
1  29154.8 +/- 110.319 + 902.614 - 882.212  TF = 0.417434, Ngobs = 69843
2  1569.44 +/- 25.3963 + 50.3077 - 48.987  TF = 0.410956, Ngobs = 3819
3  117.229 +/- 7.41419 + 7.92924 - 7.22389  TF = 0.468915, Ngobs = 250
4  26062.5 +/- 106.092 + 788.357 - 756.017  TF = 0.431863, Ngobs = 60349
5  4676.66 +/- 44.2992 + 146.308 - 139.889  TF = 0.419619, Ngobs = 11145
6  232.511 +/- 9.92332 + 14.4521 - 12.9157  TF = 0.423517, Ngobs = 549
7  2059.63 +/- 30.2104 + 126.489 - 121.538  TF = 0.443123, Ngobs = 4648
8  84.9516 +/- 5.97717 + 6.33341 - 6.16625  TF = 0.420553, Ngobs = 202
9  387.454 +/- 14.697 + 36.9394 - 35.3737  TF = 0.557488, Ngobs = 695
10  27.8432 +/- 4.15062 + 3.98822 - 3.91424  TF = 0.618738, Ngobs = 45
11  2813.44 +/- 10.6458 + 439.209 - 438.822  TF = 0.0402824, Ngobs = 69843
12  172.952 +/- 2.79867 + 27.0379 - 27.0085  TF = 0.0452874, Ngobs = 3819
13  13.2351 +/- 0.837062 + 2.21415 - 2.18317  TF = 0.0529405, Ngobs = 250
14  2504.61 +/- 10.1954 + 390.648 - 390.057  TF = 0.0415021, Ngobs = 60349
15  507.417 +/- 4.80646 + 79.2463 - 79.1097  TF = 0.0455287, Ngobs = 11145
16  25.4134 +/- 1.08462 + 4.19711 - 4.13683  TF = 0.0462904, Ngobs = 549
17  205.551 +/- 3.015 + 33.8903 - 33.7093  TF = 0.0442236, Ngobs = 4648
18  9.33618 +/- 0.656891 + 1.58908 - 1.58112  TF = 0.0462187, Ngobs = 202
19  38.7842 +/- 1.47117 + 6.99208 - 6.91049  TF = 0.0558045, Ngobs = 695
20  3.0544 +/- 0.455323 + 0.640182 - 0.634663  TF = 0.0678756, Ngobs = 45
21  259.478 +/- 0.981836 + 81.9609 - 81.9433  TF = 0.00371516, Ngobs = 69843
22  18.6763 +/- 0.302216 + 5.90131 - 5.89974  TF = 0.00489038, Ngobs = 3819
23  1.46536 +/- 0.0926774 + 0.471175 - 0.469399  TF = 0.00586143, Ngobs = 250
24  229.35 +/- 0.933607 + 72.4287 - 72.402  TF = 0.0038004, Ngobs = 60349
25  54.2492 +/- 0.51387 + 17.1374 - 17.1302  TF = 0.00486758, Ngobs = 11145
26  2.72038 +/- 0.116103 + 0.871701 - 0.868393  TF = 0.00495515, Ngobs = 549
27  19.7725 +/- 0.29002 + 6.33294 - 6.324  TF = 0.00425398, Ngobs = 4648
28  1.01092 +/- 0.0711284 + 0.326597 - 0.326144  TF = 0.00500458, Ngobs = 202
29  3.7583 +/- 0.142561 + 1.23456 - 1.23023  TF = 0.00540763, Ngobs = 695
30  0.32855 +/- 0.0489773 + 0.113496 - 0.113137  TF = 0.00730111, Ngobs = 45
31  4683.49 +/- 43.7366 + 205.135 - 198.736  TF = 0.408432, Ngobs = 11467
32  1233.28 +/- 21.3493 + 58.5258 - 56.9743  TF = 0.369577, Ngobs = 3337
