
1  14556.8 +/- 75.4441 + 810.255 - 804.883  TF = 0.391007, Ngobs = 37229
2  847.581 +/- 18.0664 + 47.6224 - 47.3125  TF = 0.385089, Ngobs = 2201
3  50.0574 +/- 4.68831 + 4.07947 - 3.8108  TF = 0.4391, Ngobs = 114
4  13191 +/- 73.5701 + 724.527 - 714.697  TF = 0.410321, Ngobs = 32148
5  2421.62 +/- 31.0617 + 134.144 - 132.328  TF = 0.398424, Ngobs = 6078
6  117.979 +/- 6.90423 + 9.08176 - 8.4085  TF = 0.404039, Ngobs = 292
7  1095.76 +/- 21.3912 + 88.3516 - 86.3568  TF = 0.417592, Ngobs = 2624
8  33.3448 +/- 3.66006 + 3.03618 - 2.98256  TF = 0.401744, Ngobs = 83
9  212.743 +/- 10.5844 + 24.276 - 23.5651  TF = 0.526591, Ngobs = 404
10  10.7293 +/- 2.52892 + 1.67125 - 1.64516  TF = 0.596071, Ngobs = 18
11  1398.91 +/- 7.25018 + 137.842 - 137.551  TF = 0.0375758, Ngobs = 37229
12  87.6399 +/- 1.86806 + 8.6617 - 8.64352  TF = 0.0398182, Ngobs = 2201
13  5.19096 +/- 0.486178 + 0.597582 - 0.578194  TF = 0.0455347, Ngobs = 114
14  1265.02 +/- 7.05537 + 124.126 - 123.601  TF = 0.0393498, Ngobs = 32148
15  247.974 +/- 3.18072 + 24.3969 - 24.2927  TF = 0.0407986, Ngobs = 6078
16  12.2463 +/- 0.716659 + 1.37118 - 1.3241  TF = 0.0419393, Ngobs = 292
17  107.165 +/- 2.09205 + 12.2714 - 12.1348  TF = 0.0408405, Ngobs = 2624
18  3.42451 +/- 0.375888 + 0.418041 - 0.413949  TF = 0.0412591, Ngobs = 83
19  20.6999 +/- 1.02986 + 2.90035 - 2.8443  TF = 0.0512373, Ngobs = 404
20  1.09224 +/- 0.257444 + 0.191917 - 0.189567  TF = 0.06068, Ngobs = 18
21  147.024 +/- 0.761986 + 24.4036 - 24.3854  TF = 0.00394917, Ngobs = 37229
22  11.1881 +/- 0.238476 + 1.85902 - 1.85764  TF = 0.00508317, Ngobs = 2201
23  0.665764 +/- 0.0623545 + 0.117397 - 0.115789  TF = 0.00584004, Ngobs = 114
24  131.91 +/- 0.735701 + 21.8626 - 21.8302  TF = 0.00410321, Ngobs = 32148
25  30.7546 +/- 0.394484 + 5.10202 - 5.09436  TF = 0.00505998, Ngobs = 6078
26  1.56913 +/- 0.0918262 + 0.273488 - 0.269652  TF = 0.00537372, Ngobs = 292
27  11.8342 +/- 0.231024 + 2.08207 - 2.07229  TF = 0.00451, Ngobs = 2624
28  0.430147 +/- 0.0472148 + 0.0778356 - 0.0774899  TF = 0.0051825, Ngobs = 83
