 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 0 0 0| |   2830|   2195| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 1| |    173|    131| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 2| |     13|     11| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 3| |   2617|   1980| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 4| |    545|    391| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 5| |     21|     15| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 6| |    200|    167| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 7| |      9|      6| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 8| |     33|     22| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 0 9| |      0|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0109
 0 1 0| |    272|    178| 0.0886| 0.0323| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 1| |     24|     15| 0.1043| 0.0323| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 2| |      1|      0| 0.1051| 0.0323| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 3| |    246|    169| 0.0885| 0.0323| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 4| |     53|     50| 0.1031| 0.0323| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 5| |      1|      0| 0.1076| 0.0323| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 6| |     15|     19| 0.0924| 0.0323| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 7| |      1|      0| 0.1029| 0.0323| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 8| |      1|      2| 0.0937| 0.0323| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 1 9| |      0|      0| 0.1020| 0.0323| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0122
 0 2 0| |     28|     18| 0.0094| 0.0937| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 1| |      3|      0| 0.0127| 0.0937| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 2| |      1|      0| 0.0129| 0.0937| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 3| |     27|     21| 0.0093| 0.0937| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 4| |     10|      3| 0.0125| 0.0937| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 5| |      0|      0| 0.0135| 0.0937| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 6| |      0|      2| 0.0102| 0.0937| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 7| |      0|      0| 0.0124| 0.0937| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 8| |      1|      1| 0.0104| 0.0937| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 0 2 9| |      0|      0| 0.0122| 0.0937| 0.0000| 0.0000| 0.0000| 0.0000| 0.1000| 0.0230
 1 0 0| |    465|    369| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 1| |    113|    103| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 2| |     10|      7| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 3| |    410|    302| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 4| |    341|    235| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 5| |     30|     23| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 6| |     63|     67| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 7| |     10|      4| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 8| |      8|      6| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 9| |      0|      2| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 1 0| |     94|     61| 0.1768| 0.0499| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 1| |     23|     17| 0.1842| 0.0499| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 2| |      2|      1| 0.1865| 0.0499| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 3| |     79|     54| 0.1765| 0.0499| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 4| |     64|     48| 0.1830| 0.0499| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 5| |      6|      4| 0.1888| 0.0499| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
 1 1 6| |      8|     10| 0.1805| 0.0499| 0.0000| 0.0000| 0.0000| 0.0000| 0.0700| 0.0144
