
1  24616.5 +/- 97.9906 + 1370.15 - 1361.06  TF = 0.39007, Ngobs = 63108
2  1341.44 +/- 22.7005 + 75.5934 - 75.1044  TF = 0.384147, Ngobs = 3492
3  84.6707 +/- 6.11058 + 6.93785 - 6.48604  TF = 0.440993, Ngobs = 192
4  22253.5 +/- 95.4453 + 1222.09 - 1205.51  TF = 0.409365, Ngobs = 54361
5  4173.09 +/- 40.7757 + 231.146 - 228.017  TF = 0.398424, Ngobs = 10474
6  190.607 +/- 8.75487 + 14.6712 - 13.5834  TF = 0.402124, Ngobs = 474
7  1836.39 +/- 27.7067 + 148.353 - 145.016  TF = 0.418027, Ngobs = 4393
8  60.01 +/- 4.86745 + 5.48511 - 5.38899  TF = 0.394803, Ngobs = 152
9  365.676 +/- 13.8709 + 41.7899 - 40.5697  TF = 0.526153, Ngobs = 695
10  13.6869 +/- 2.85392 + 2.15095 - 2.11797  TF = 0.595083, Ngobs = 23
11  2181.02 +/- 8.68196 + 207.728 - 207.259  TF = 0.0345602, Ngobs = 63108
12  139.913 +/- 2.36766 + 13.3826 - 13.3526  TF = 0.0400666, Ngobs = 3492
13  8.89889 +/- 0.642222 + 1.00235 - 0.968359  TF = 0.0463484, Ngobs = 192
14  1969.43 +/- 8.44691 + 186.725 - 185.878  TF = 0.0362288, Ngobs = 54361
15  430.246 +/- 4.20398 + 40.9103 - 40.7232  TF = 0.0410775, Ngobs = 10474
16  20.5093 +/- 0.942024 + 2.2371 - 2.1561  TF = 0.0432686, Ngobs = 474
17  169.683 +/- 2.5601 + 18.9707 - 18.7492  TF = 0.0386257, Ngobs = 4393
18  6.17503 +/- 0.500861 + 0.739145 - 0.73162  TF = 0.0406252, Ngobs = 152
19  34.2639 +/- 1.2997 + 4.72711 - 4.63285  TF = 0.0493005, Ngobs = 695
20  1.39606 +/- 0.291099 + 0.244493 - 0.241479  TF = 0.0606984, Ngobs = 23
21  231.395 +/- 0.921111 + 34.5453 - 34.5135  TF = 0.00366665, Ngobs = 63108
22  17.0363 +/- 0.288296 + 2.5478 - 2.54546  TF = 0.00487867, Ngobs = 3492
23  1.09225 +/- 0.0788265 + 0.175795 - 0.1729  TF = 0.00568881, Ngobs = 192
24  206.957 +/- 0.887641 + 30.84 - 30.7834  TF = 0.00380709, Ngobs = 54361
25  52.1637 +/- 0.509697 + 7.78234 - 7.7679  TF = 0.0049803, Ngobs = 10474
26  2.57319 +/- 0.118191 + 0.407788 - 0.400861  TF = 0.00542868, Ngobs = 474
27  18.7312 +/- 0.282608 + 3.00378 - 2.98678  TF = 0.00426387, Ngobs = 4393
28  0.744124 +/- 0.0603564 + 0.123499 - 0.122846  TF = 0.00489555, Ngobs = 152
29  3.80303 +/- 0.144257 + 0.68296 - 0.674956  TF = 0.00547199, Ngobs = 695
30  0.16698 +/- 0.0348178 + 0.0349811 - 0.0346803  TF = 0.00726001, Ngobs = 23
31  4044.84 +/- 39.2721 + 255.755 - 252.173  TF = 0.381301, Ngobs = 10608
32  1023.4 +/- 18.8073 + 67.3591 - 66.4889  TF = 0.345626, Ngobs = 2961
33  81.3781 +/- 5.66988 + 6.72906 - 6.29902  TF = 0.39504, Ngobs = 206
34  3210.43 +/- 35.3093 + 198.54 - 195.632  TF = 0.388342, Ngobs = 8267
35  2545.77 +/- 30.6808 + 158.75 - 156.464  TF = 0.369756, Ngobs = 6885
36  203.999 +/- 8.7464 + 15.9146 - 14.7671  TF = 0.374999, Ngobs = 544
37  463.818 +/- 13.124 + 37.8299 - 36.9954  TF = 0.371352, Ngobs = 1249
38  52.6217 +/- 4.31094 + 4.81421 - 4.72999  TF = 0.353166, Ngobs = 149
39  120.291 +/- 7.47451 + 14.1991 - 13.8109  TF = 0.464443, Ngobs = 259
40  11.9392 +/- 2.21705 + 1.85682 - 1.82774  TF = 0.411697, Ngobs = 29
41  715.128 +/- 6.94332 + 76.5886 - 76.2164  TF = 0.067414, Ngobs = 10608
42  188.51 +/- 3.4643 + 20.481 - 20.3842  TF = 0.0636643, Ngobs = 2961
43  15.177 +/- 1.05743 + 1.8155 - 1.76102  TF = 0.0736749, Ngobs = 206
44  566.64 +/- 6.23209 + 60.2251 - 59.9279  TF = 0.0685424, Ngobs = 8267
45  465.875 +/- 5.61459 + 49.6556 - 49.412  TF = 0.0676653, Ngobs = 6885
46  38.5151 +/- 1.65132 + 4.48465 - 4.34248  TF = 0.0707998, Ngobs = 544
47  83.7192 +/- 2.36889 + 9.94965 - 9.84689  TF = 0.067029, Ngobs = 1249
48  9.69292 +/- 0.794075 + 1.21999 - 1.20876  TF = 0.0650532, Ngobs = 149
49  21.496 +/- 1.33569 + 3.14498 - 3.08928  TF = 0.082996, Ngobs = 259
50  2.2004 +/- 0.408603 + 0.391517 - 0.386842  TF = 0.0758757, Ngobs = 29
51  114.469 +/- 1.1114 + 18.9954 - 18.957  TF = 0.0107908, Ngobs = 10608
52  30.2926 +/- 0.556695 + 5.05726 - 5.04716  TF = 0.0102305, Ngobs = 2961
53  2.44948 +/- 0.170664 + 0.426918 - 0.420931  TF = 0.0118907, Ngobs = 206
54  90.534 +/- 0.995722 + 14.9761 - 14.9457  TF = 0.0109513, Ngobs = 8267
55  74.8456 +/- 0.902016 + 12.3954 - 12.3703  TF = 0.0108708, Ngobs = 6885
56  6.22198 +/- 0.266765 + 1.07093 - 1.05553  TF = 0.0114375, Ngobs = 544
57  13.4507 +/- 0.380596 + 2.33716 - 2.3259  TF = 0.0107692, Ngobs = 1249
58  1.5576 +/- 0.127604 + 0.278236 - 0.276968  TF = 0.0104537, Ngobs = 149
59  3.44032 +/- 0.213771 + 0.665971 - 0.659259  TF = 0.0132831, Ngobs = 259
60  0.354594 +/- 0.0658465 + 0.0774661 - 0.0768538  TF = 0.0122274, Ngobs = 29
61  6.47174 +/- 0.0628354 + 3.20527 - 3.20455  TF = 0.000610081, Ngobs = 10608
62  2.14914 +/- 0.0394952 + 1.06513 - 1.06489  TF = 0.000725814, Ngobs = 2961
63  0.18717 +/- 0.0130407 + 0.0932349 - 0.0930758  TF = 0.000908591, Ngobs = 206
64  5.13668 +/- 0.0564948 + 2.54315 - 2.54258  TF = 0.000621348, Ngobs = 8267
65  5.34611 +/- 0.0644297 + 2.64719 - 2.64659  TF = 0.000776487, Ngobs = 6885
66  0.489599 +/- 0.0209914 + 0.243514 - 0.243098  TF = 0.000899998, Ngobs = 544
67  0.881255 +/- 0.0249356 + 0.438816 - 0.438559  TF = 0.000705568, Ngobs = 1249
68  0.110506 +/- 0.00905297 + 0.0552159 - 0.0551838  TF = 0.000741648, Ngobs = 149
69  0.216523 +/- 0.0134541 + 0.109388 - 0.109227  TF = 0.000835998, Ngobs = 259
70  0.0250723 +/- 0.00465581 + 0.0129185 - 0.0129002  TF = 0.000864563, Ngobs = 29
71  221.865 +/- 9.49495 + 22.9352 - 22.5621  TF = 0.406346, Ngobs = 546
72  226.796 +/- 8.78157 + 22.1203 - 21.7157  TF = 0.340024, Ngobs = 667
73  28.5498 +/- 3.29665 + 3.30853 - 3.26578  TF = 0.380664, Ngobs = 75
74  176.43 +/- 8.60892 + 17.4025 - 17.0913  TF = 0.420072, Ngobs = 420
75  412.317 +/- 11.9625 + 37.5812 - 36.793  TF = 0.347068, Ngobs = 1188
76  74.5469 +/- 5.07227 + 7.48191 - 7.35275  TF = 0.345125, Ngobs = 216
77  56.6539 +/- 4.34516 + 5.72302 - 5.6255  TF = 0.333258, Ngobs = 170
78  20.0318 +/- 2.48464 + 2.4928 - 2.4649  TF = 0.308181, Ngobs = 65
79  13.5112 +/- 2.25187 + 2.06985 - 2.03644  TF = 0.375311, Ngobs = 36
80  5.03482 +/- 1.29999 + 1.36982 - 1.36285  TF = 0.335655, Ngobs = 15
81  60.6579 +/- 2.59592 + 10.5882 - 10.5281  TF = 0.111095, Ngobs = 546
82  62.6864 +/- 2.42723 + 10.7295 - 10.6662  TF = 0.0939826, Ngobs = 667
83  7.95683 +/- 0.918775 + 1.45009 - 1.44254  TF = 0.106091, Ngobs = 75
84  48.2184 +/- 2.35282 + 8.28354 - 8.23501  TF = 0.114806, Ngobs = 420
85  114.006 +/- 3.30764 + 19.1078 - 18.9901  TF = 0.0959642, Ngobs = 1188
86  20.8359 +/- 1.4177 + 3.60024 - 3.57939  TF = 0.0964623, Ngobs = 216
