
1  14009 +/- 72.6052 + 435.15 - 425.38  TF = 0.376294, Ngobs = 37229
2  817.648 +/- 17.4284 + 26.2913 - 25.6055  TF = 0.371489, Ngobs = 2201
3  48.3932 +/- 4.53244 + 3.27563 - 2.98468  TF = 0.424502, Ngobs = 114
4  12710.4 +/- 70.8895 + 385.512 - 369.785  TF = 0.395371, Ngobs = 32148
5  2344.41 +/- 30.0713 + 73.5179 - 70.3084  TF = 0.38572, Ngobs = 6078
6  114.216 +/- 6.68401 + 7.10077 - 6.34625  TF = 0.391152, Ngobs = 292
7  1071.71 +/- 20.9217 + 65.6115 - 63.0265  TF = 0.408428, Ngobs = 2624
8  32.5114 +/- 3.56859 + 2.41811 - 2.35398  TF = 0.391704, Ngobs = 83
9  207.813 +/- 10.3391 + 19.7396 - 18.8966  TF = 0.514389, Ngobs = 404
10  10.4569 +/- 2.4647 + 1.4887 - 1.46074  TF = 0.580936, Ngobs = 18
11  1344.87 +/- 6.9701 + 213.389 - 213.207  TF = 0.0361242, Ngobs = 37229
12  84.5448 +/- 1.80209 + 13.433 - 13.4189  TF = 0.038412, Ngobs = 2201
13  5.01354 +/- 0.469561 + 0.850717 - 0.839149  TF = 0.0439784, Ngobs = 114
14  1217.65 +/- 6.79121 + 193.032 - 192.749  TF = 0.0378765, Ngobs = 32148
15  239.833 +/- 3.0763 + 38.0681 - 38.0045  TF = 0.0394592, Ngobs = 6078
16  11.8442 +/- 0.693132 + 1.98461 - 1.95693  TF = 0.0405625, Ngobs = 292
17  104.706 +/- 2.04405 + 17.5079 - 17.417  TF = 0.0399034, Ngobs = 2624
18  3.33892 +/- 0.366494 + 0.575836 - 0.573026  TF = 0.040228, Ngobs = 83
19  20.1994 +/- 1.00496 + 3.68237 - 3.64035  TF = 0.0499986, Ngobs = 404
20  1.06346 +/- 0.25066 + 0.224285 - 0.222376  TF = 0.0590812, Ngobs = 18
21  141.491 +/- 0.733313 + 45.9395 - 45.9301  TF = 0.00380057, Ngobs = 37229
22  10.793 +/- 0.230054 + 3.50541 - 3.50452  TF = 0.00490366, Ngobs = 2201
23  0.64363 +/- 0.0602814 + 0.212529 - 0.211769  TF = 0.00564587, Ngobs = 114
24  127.104 +/- 0.708895 + 41.2593 - 41.2449  TF = 0.00395371, Ngobs = 32148
25  30.0084 +/- 0.384913 + 9.74399 - 9.74011  TF = 0.00493722, Ngobs = 6078
26  1.5305 +/- 0.0895657 + 0.503712 - 0.501901  TF = 0.00524144, Ngobs = 292
27  11.5745 +/- 0.225954 + 3.8073 - 3.8022  TF = 0.00441102, Ngobs = 2624
28  0.419397 +/- 0.0460348 + 0.139088 - 0.138905  TF = 0.00505298, Ngobs = 83
29  2.20282 +/- 0.109594 + 0.742042 - 0.739573  TF = 0.00545252, Ngobs = 404
30  0.130711 +/- 0.0308088 + 0.0461615 - 0.0460218  TF = 0.00726171, Ngobs = 18
31  2390.96 +/- 29.6403 + 105.021 - 101.763  TF = 0.367445, Ngobs = 6507
32  585.005 +/- 13.9763 + 27.7818 - 27.0464  TF = 0.333907, Ngobs = 1752
33  57.3079 +/- 4.69485 + 3.92923 - 3.58951  TF = 0.384617, Ngobs = 149
34  1954.28 +/- 27.0593 + 81.7664 - 78.967  TF = 0.37467, Ngobs = 5216
35  1459.54 +/- 22.8583 + 62.1539 - 60.101  TF = 0.357993, Ngobs = 4077
36  108.39 +/- 6.25787 + 6.83337 - 6.12843  TF = 0.361298, Ngobs = 300
37  273.437 +/- 9.99117 + 17.0749 - 16.4288  TF = 0.365069, Ngobs = 749
38  38.4402 +/- 3.63226 + 2.85584 - 2.77993  TF = 0.343216, Ngobs = 112
39  68.3075 +/- 5.55879 + 6.78361 - 6.51909  TF = 0.452368, Ngobs = 151
40  5.20753 +/- 1.44431 + 0.728269 - 0.714089  TF = 0.400579, Ngobs = 13
41  455.478 +/- 5.64647 + 76.7187 - 76.5593  TF = 0.0699982, Ngobs = 6507
42  118.347 +/- 2.82741 + 20.048 - 20.0068  TF = 0.0675494, Ngobs = 1752
43  12.1665 +/- 0.996716 + 2.14704 - 2.12006  TF = 0.0816542, Ngobs = 149
44  371.313 +/- 5.14128 + 62.3449 - 62.2145  TF = 0.0711872, Ngobs = 5216
45  294.681 +/- 4.6151 + 49.5332 - 49.4299  TF = 0.0722788, Ngobs = 4077
46  22.8268 +/- 1.31791 + 3.98103 - 3.9298  TF = 0.0760894, Ngobs = 300
47  53.3749 +/- 1.95028 + 9.29715 - 9.25268  TF = 0.0712616, Ngobs = 749
48  7.97249 +/- 0.75333 + 1.42529 - 1.41882  TF = 0.071183, Ngobs = 112
49  13.2585 +/- 1.07896 + 2.52621 - 2.49983  TF = 0.0878046, Ngobs = 151
50  1.16753 +/- 0.323814 + 0.250404 - 0.248343  TF = 0.0898098, Ngobs = 13
51  69.0988 +/- 0.856604 + 14.6497 - 14.6305  TF = 0.0106191, Ngobs = 6507
52  19.5392 +/- 0.466809 + 4.15753 - 4.15211  TF = 0.0111525, Ngobs = 1752
