
1  24253.2 +/- 95.4169 + 753.434 - 736.522  TF = 0.375389, Ngobs = 64608
2  1317.79 +/- 22.0986 + 42.377 - 41.2718  TF = 0.370581, Ngobs = 3556
3  82.3534 +/- 5.91263 + 5.5744 - 5.07929  TF = 0.424502, Ngobs = 194
4  22011.5 +/- 93.2883 + 667.477 - 640.235  TF = 0.395371, Ngobs = 55673
5  4114.48 +/- 39.8376 + 129.006 - 123.372  TF = 0.38572, Ngobs = 10667
6  187.699 +/- 8.55835 + 11.6686 - 10.4286  TF = 0.390227, Ngobs = 481
7  1828.29 +/- 27.3581 + 111.915 - 107.505  TF = 0.40938, Ngobs = 4466
8  59.5994 +/- 4.81832 + 4.42591 - 4.30816  TF = 0.389538, Ngobs = 153
9  367.822 +/- 13.775 + 34.9362 - 33.4441  TF = 0.51588, Ngobs = 713
10  13.4058 +/- 2.7953 + 1.91867 - 1.88302  TF = 0.58286, Ngobs = 23
11  2156.11 +/- 8.48256 + 337.572 - 337.276  TF = 0.0333721, Ngobs = 64608
12  138.236 +/- 2.31814 + 21.6734 - 21.6499  TF = 0.038874, Ngobs = 3556
13  8.70475 +/- 0.624965 + 1.45995 - 1.43962  TF = 0.0448699, Ngobs = 194
14  1954.62 +/- 8.284 + 305.741 - 305.282  TF = 0.0351089, Ngobs = 55673
15  425.848 +/- 4.12319 + 66.6976 - 66.5833  TF = 0.039922, Ngobs = 10667
16  20.3278 +/- 0.92687 + 3.36561 - 3.31752  TF = 0.0422616, Ngobs = 481
17  169.482 +/- 2.53609 + 28.0004 - 27.8515  TF = 0.0379495, Ngobs = 4466
18  6.16258 +/- 0.498215 + 1.05058 - 1.04533  TF = 0.0402783, Ngobs = 153
19  34.5753 +/- 1.29485 + 6.23977 - 6.1671  TF = 0.0484927, Ngobs = 713
20  1.37141 +/- 0.285959 + 0.287773 - 0.285298  TF = 0.0596266, Ngobs = 23
21  227.98 +/- 0.896919 + 72.0688 - 72.0534  TF = 0.00352866, Ngobs = 64608
22  16.8677 +/- 0.282862 + 5.33404 - 5.33262  TF = 0.00474344, Ngobs = 3556
23  1.07059 +/- 0.0768642 + 0.344505 - 0.343209  TF = 0.00551852, Ngobs = 194
24  206.908 +/- 0.87691 + 65.3927 - 65.3687  TF = 0.00371649, Ngobs = 55673
25  51.431 +/- 0.49797 + 16.2598 - 16.253  TF = 0.0048215, Ngobs = 10667
26  2.55271 +/- 0.116394 + 0.818585 - 0.815484  TF = 0.00530709, Ngobs = 481
27  18.6486 +/- 0.279052 + 5.97667 - 5.96824  TF = 0.00417567, Ngobs = 4466
28  0.744992 +/- 0.0602291 + 0.240808 - 0.240474  TF = 0.00486923, Ngobs = 153
29  3.86213 +/- 0.144638 + 1.26916 - 1.26472  TF = 0.00541673, Ngobs = 713
30  0.164891 +/- 0.0343822 + 0.056989 - 0.0568088  TF = 0.00716918, Ngobs = 23
31  4088.86 +/- 38.7156 + 179.33 - 173.752  TF = 0.366582, Ngobs = 11154
32  1029.77 +/- 18.5431 + 48.9881 - 47.6959  TF = 0.333907, Ngobs = 3084
33  81.3253 +/- 5.61198 + 5.57628 - 5.09421  TF = 0.387264, Ngobs = 210
34  3266.74 +/- 34.985 + 136.679 - 131.999  TF = 0.37467, Ngobs = 8719
35  2563.38 +/- 30.2559 + 109.167 - 105.562  TF = 0.357116, Ngobs = 7178
36  201.243 +/- 8.52695 + 12.6876 - 11.3788  TF = 0.361298, Ngobs = 557
37  473.376 +/- 13.1291 + 29.5575 - 28.4389  TF = 0.364136, Ngobs = 1300
38  52.7936 +/- 4.26811 + 3.92201 - 3.81775  TF = 0.345056, Ngobs = 153
39  120.656 +/- 7.38404 + 11.9924 - 11.5255  TF = 0.451896, Ngobs = 267
40  11.59 +/- 2.15221 + 1.62084 - 1.58928  TF = 0.399656, Ngobs = 29
41  720.047 +/- 6.81782 + 118.046 - 117.787  TF = 0.0645551, Ngobs = 11154
42  190.095 +/- 3.42306 + 31.361 - 31.293  TF = 0.0616392, Ngobs = 3084
43  15.2485 +/- 1.05225 + 2.62589 - 2.59123  TF = 0.0726119, Ngobs = 210
44  574.294 +/- 6.15036 + 93.8477 - 93.6404  TF = 0.0658669, Ngobs = 8719
